"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";5184;2;101;0;134655;3849,84;11;8,17
"LK Altötting";6059;1;210;0;111516;5433,3;2;1,79
"LK Amberg-Sulzbach";4832;0;160;0;103049;4689,03;1;0,97
"LK Ansbach";8411;0;196;0;184591;4556,56;19;10,29
"LK Aschaffenburg";7995;0;212;0;174200;4589,55;14;8,04
"LK Augsburg";11412;0;225;0;253468;4502,34;19;7,5
"LK Bad Kissingen";3639;4;104;0;103235;3524,97;5;4,84
"LK Bad Tölz-Wolfratshausen";5059;3;78;0;127917;3954,91;8;6,25
"LK Bamberg";5594;0;141;1;147163;3801,23;20;13,59
"LK Bayreuth";4928;0;161;0;103664;4753,82;2;1,93
"LK Berchtesgadener Land";5999;0;102;0;105929;5663,23;14;13,22
"LK Cham";7122;0;182;0;127998;5564,15;7;5,47
"LK Coburg";4886;0;161;0;86747;5632,47;6;6,92
"LK Dachau";8218;0;143;0;154899;5305,39;3;1,94
"LK Deggendorf";6983;0;157;0;119478;5844,59;11;9,21
"LK Dillingen a.d.Donau";3766;0;115;0;96562;3900,08;2;2,07
"LK Dingolfing-Landau";5807;1;97;0;96683;6006,23;16;16,55
"LK Donau-Ries";5975;0;164;0;133783;4466,19;8;5,98
"LK Ebersberg";6357;0;180;0;143649;4425,37;11;7,66
"LK Eichstätt";5058;0;83;0;132881;3806,41;14;10,54
"LK Erding";6966;0;118;0;138182;5041,18;7;5,07
"LK Erlangen-Höchstadt";5401;-1;130;0;137262;3934,81;7;5,1
"LK Forchheim";4781;1;113;0;116203;4114,35;11;9,47
"LK Freising";8146;5;130;0;180007;4525,38;11;6,11
"LK Freyung-Grafenau";4913;0;128;0;78362;6269,62;2;2,55
"LK Fürstenfeldbruck";9713;0;140;0;219311;4428,87;9;4,1
"LK Fürth";5346;1;208;0;117853;4536,16;7;5,94
"LK Garmisch-Partenkirchen";3641;0;87;0;88424;4117,66;13;14,7
"LK Günzburg";6943;-1;110;0;127027;5465,77;19;14,96
"LK Haßberge";4069;0;87;0;84384;4822;4;4,74
"LK Hof";6396;1;157;1;94801;6746,76;7;7,38
