"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";843;788;8;1639
"'10-19";1570;1678;3;3251
"20-29";4178;4036;15;8229
"30-39";3604;3503;15;7122
"40-49";3476;4194;8;7678
"50-59";4548;5073;10;9631
"60-69";2641;2281;2;4924
"70-79";2122;2031;1;4154
"80-89";1551;2497;1;4049
"90-99";251;822;0;1073
"100+";0;13;0;13
"Unbekannt";5;6;14;25
"Gesamt";24789;26922;77;51788
