"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";5112;23;95;1;134655;3796,37;54;40,1
"LK Altötting";5934;16;208;0;111516;5321,21;89;79,81
"LK Amberg-Sulzbach";4764;13;157;0;103049;4623,04;56;54,34
"LK Ansbach";8172;39;173;0;184591;4427,08;107;57,97
"LK Aschaffenburg";7871;15;207;1;174200;4518,37;101;57,98
"LK Augsburg";11168;21;215;0;253468;4406,08;196;77,33
"LK Bad Kissingen";3551;10;100;0;103235;3439,72;68;65,87
"LK Bad Tölz-Wolfratshausen";4956;20;78;0;127917;3874,39;75;58,63
"LK Bamberg";5402;28;137;0;147163;3670,76;106;72,03
"LK Bayreuth";4894;10;158;1;103664;4721,02;45;43,41
"LK Berchtesgadener Land";5779;26;99;0;105929;5455,54;100;94,4
"LK Cham";7061;13;177;1;127998;5516,49;96;75
"LK Coburg";4703;10;159;0;86747;5421,51;121;139,49
"LK Dachau";8118;15;138;0;154899;5240,83;67;43,25
"LK Deggendorf";6851;43;149;0;119478;5734,11;168;140,61
"LK Dillingen a.d.Donau";3585;9;111;0;96562;3712,64;100;103,56
"LK Dingolfing-Landau";5634;13;92;0;96683;5827,29;81;83,78
"LK Donau-Ries";5738;0;158;0;133783;4289,04;100;74,75
"LK Ebersberg";6242;10;176;0;143649;4345,31;76;52,91
"LK Eichstätt";4949;10;81;0;132881;3724,38;60;45,15
"LK Erding";6835;7;115;0;138182;4946,38;52;37,63
"LK Erlangen-Höchstadt";5260;11;128;1;137262;3832,09;67;48,81
"LK Forchheim";4664;17;113;0;116203;4013,67;47;40,45
"LK Freising";8111;6;127;0;180007;4505,94;59;32,78
"LK Freyung-Grafenau";4836;14;126;0;78362;6171,36;72;91,88
"LK Fürstenfeldbruck";9549;-7;135;0;219311;4354,09;89;40,58
"LK Fürth";5199;38;205;0;117853;4411,43;89;75,52
"LK Garmisch-Partenkirchen";3513;8;87;0;88424;3972,9;31;35,06
"LK Günzburg";6539;52;106;0;127027;5147,72;178;140,13
