"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";624;7;20;0;134655;463,41;63;46,79
"LK Altötting";784;4;57;0;111516;703,04;23;20,62
"LK Amberg-Sulzbach";584;7;54;0;103049;566,72;23;22,32
"LK Ansbach";794;0;28;0;184591;430,14;49;26,55
"LK Aschaffenburg";825;10;42;0;174200;473,59;62;35,59
"LK Augsburg";1027;28;13;0;253468;405,18;149;58,78
"LK Bad Kissingen";318;2;18;0;103235;308,04;11;10,66
"LK Bad Tölz-Wolfratshausen";725;13;10;0;127917;566,77;49;38,31
"LK Bamberg";608;11;38;0;147163;413,15;51;34,66
"LK Bayreuth";492;7;28;0;103664;474,61;27;26,05
"LK Berchtesgadener Land";813;44;25;0;105929;767,5;278;262,44
"LK Cham";653;6;21;0;127998;510,16;67;52,34
"LK Coburg";471;4;30;0;86747;542,96;12;13,83
"LK Dachau";1442;25;36;1;154899;930,93;98;63,27
"LK Deggendorf";580;8;20;0;119478;485,45;56;46,87
"LK Dillingen a.d.Donau";433;4;29;0;96562;448,42;34;35,21
"LK Dingolfing-Landau";1066;11;11;0;96683;1102,57;40;41,37
"LK Donau-Ries";617;25;26;0;133783;461,19;80;59,8
"LK Ebersberg";953;25;7;0;143649;663,42;86;59,87
"LK Eichstätt";508;4;20;0;132881;382,3;54;40,64
"LK Erding";957;11;11;0;138182;692,56;47;34,01
"LK Erlangen-Höchstadt";467;5;11;0;137262;340,23;37;26,96
"LK Forchheim";358;6;4;0;116203;308,08;31;26,68
"LK Freising";1491;8;47;0;180007;828,3;108;60
"LK Freyung-Grafenau";302;3;13;0;78362;385,39;23;29,35
"LK Fürstenfeldbruck";1772;42;38;0;219311;807,99;225;102,59
"LK Fürth";700;18;60;1;117853;593,96;43;36,49
"LK Garmisch-Partenkirchen";467;2;20;0;88424;528,14;25;28,27
"LK Günzburg";529;5;4;0;127027;416,45;62;48,81
"LK Haßberge";296;9;6;0;84384;350,78;45;53,33
"LK Hof";582;0;32;0;94801;613,92;13;13,71
"LK Kelheim";727;3;36;1;123058;590,78;32;26
"LK Kitzingen";357;12;4;0;91155;391,64;47;51,56
"LK Kronach";210;3;3;0;66743;314,64;11;16,48
"LK Kulmbach";351;2;11;0;71566;490,46;25;34,93
"LK Landsberg a.Lech";591;4;10;0;120302;491,26;68;56,52
"LK Landshut";998;17;34;0;159895;624,16;90;56,29
"LK Lichtenfels";434;14;17;0;66776;649,93;34;50,92
"LK Lindau";392;4;8;0;81981;478,16;47;57,33
"LK Main-Spessart";294;5;6;0;126158;233,04;24;19,02
"LK Miesbach";854;13;11;0;100010;853,91;51;50,99
"LK Miltenberg";565;6;8;0;128743;438,86;73;56,7
"LK Mühldorf a.Inn";847;35;27;0;115872;730,98;140;120,82
"LK München";2470;22;96;0;350473;704,76;168;47,94
"LK Neu-Ulm";989;13;26;0;175204;564,48;76;43,38
"LK Neuburg-Schrobenhausen";548;12;18;0;97303;563,19;64;65,77
"LK Neumarkt i.d.OPf.";655;6;17;0;134573;486,72;52;38,64
"LK Neustadt a.d.Aisch-Bad Windsheim";328;3;6;0;101014;324,71;21;20,79
"LK Neustadt a.d.Waldnaab";1048;24;75;0;94450;1109,58;76;80,47
"LK Nürnberger Land";919;12;44;0;170792;538,08;70;40,99
"LK Oberallgäu";384;9;8;0;156008;246,14;54;34,61
"LK Ostallgäu";859;18;40;0;141182;608,43;104;73,66
"LK Passau";1057;22;31;0;192656;548,65;162;84,09
"LK Pfaffenhofen a.d.Ilm";627;8;22;0;128227;488,98;79;61,61
"LK Regen";385;6;12;0;77410;497,35;73;94,3
"LK Regensburg";853;9;17;0;194070;439,53;43;22,16
"LK Rhön-Grabfeld";333;5;9;0;79635;418,16;15;18,84
"LK Rosenheim";2959;21;202;1;261330;1132,28;194;74,24
"LK Roth";456;14;7;0;126749;359,77;56;44,18
"LK Rottal-Inn";1124;0;51;0;121502;925,09;138;113,58
"LK Schwandorf";663;8;21;0;147872;448,36;31;20,96
"LK Schweinfurt";891;25;25;0;115445;771,8;130;112,61
"LK Starnberg";935;13;13;0;136667;684,14;71;51,95
"LK Straubing-Bogen";679;7;29;0;101120;671,48;34;33,62
"LK Tirschenreuth";1297;3;141;0;72046;1800,24;39;54,13
"LK Traunstein";1597;21;88;0;177319;900,64;83;46,81
"LK Unterallgäu";631;11;18;0;145341;434,15;84;57,8
"LK Weilheim-Schongau";624;37;3;0;135478;460,59;108;79,72
"LK Weißenburg-Gunzenhausen";509;14;25;0;94734;537,29;46;48,56
"LK Wunsiedel i.Fichtelgebirge";835;5;46;0;72655;1149,27;35;48,17
"LK Würzburg";782;14;7;0;162302;481,82;82;50,52
"SK Amberg";162;2;4;0;42207;383,82;10;23,69
"SK Ansbach";212;0;8;0;41798;507,2;5;11,96
"SK Aschaffenburg";233;6;1;0;71002;328,16;22;30,99
"SK Augsburg";1686;61;17;0;296582;568,48;394;132,85
"SK Bamberg";297;4;22;0;77373;383,85;15;19,39
"SK Bayreuth";322;6;11;0;74783;430,58;22;29,42
"SK Coburg";160;2;4;0;41072;389,56;9;21,91
"SK Erlangen";480;4;12;0;112528;426,56;43;38,21
"SK Fürth";710;22;38;0;128497;552,54;50;38,91
"SK Hof";204;0;5;0;45825;445,17;10;21,82
"SK Ingolstadt";974;25;39;0;137392;708,92;90;65,51
"SK Kaufbeuren";235;5;10;1;44398;529,3;18;40,54
"SK Kempten";235;8;10;0;69151;339,84;31;44,83
"SK Landshut";493;3;9;0;73411;671,56;17;23,16
"SK Memmingen";225;7;2;0;44100;510,2;41;92,97
"SK München";13976;193;236;0;1484226;941,64;1117;75,26
"SK Nürnberg";2692;48;55;1;518370;519,32;296;57,1
"SK Passau";268;4;18;0;52803;507,55;30;56,81
"SK Regensburg";1079;10;10;0;153094;704,8;70;45,72
"SK Rosenheim";839;3;23;0;63551;1320,2;47;73,96
"SK Schwabach";162;5;2;0;40981;395,31;20;48,8
"SK Schweinfurt";353;9;18;0;53426;660,73;60;112,3
"SK Straubing";540;4;48;0;47791;1129,92;30;62,77
"SK Weiden i.d.OPf.";483;15;20;0;42743;1130,01;56;131,02
"SK Würzburg";955;24;52;0;127934;746,48;93;72,69
