"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";5185;1;101;0;134655;3850,58;5;3,71
"LK Altötting";6060;0;210;0;111516;5434,2;8;7,17
"LK Amberg-Sulzbach";4838;3;160;0;103049;4694,85;6;5,82
"LK Ansbach";8415;5;197;0;184591;4558,73;8;4,33
"LK Aschaffenburg";8029;2;213;0;174200;4609,07;8;4,59
"LK Augsburg";11492;15;230;1;253468;4533,91;46;18,15
"LK Bad Kissingen";3644;0;104;0;103235;3529,81;1;0,97
"LK Bad Tölz-Wolfratshausen";5111;9;79;0;127917;3995,56;40;31,27
"LK Bamberg";5645;15;145;0;147163;3835,88;31;21,07
"LK Bayreuth";4936;1;163;0;103664;4761,54;1;0,96
"LK Berchtesgadener Land";6037;2;102;0;105929;5699,1;10;9,44
"LK Cham";7136;1;182;0;127998;5575,09;3;2,34
"LK Coburg";4889;0;161;0;86747;5635,93;0;0
"LK Dachau";8252;2;143;0;154899;5327,34;4;2,58
"LK Deggendorf";7006;6;160;0;119478;5863,84;14;11,72
"LK Dillingen a.d.Donau";3793;7;115;0;96562;3928,05;17;17,61
"LK Dingolfing-Landau";5824;7;98;0;96683;6023,81;7;7,24
"LK Donau-Ries";6010;2;165;0;133783;4492,35;11;8,22
"LK Ebersberg";6386;6;181;0;143649;4445,56;18;12,53
"LK Eichstätt";5081;3;86;0;132881;3823,72;6;4,52
"LK Erding";6978;2;118;0;138182;5049,86;6;4,34
"LK Erlangen-Höchstadt";5427;2;130;0;137262;3953,75;11;8,01
"LK Forchheim";4794;0;113;0;116203;4125,54;3;2,58
"LK Freising";8215;2;130;0;180007;4563,71;26;14,44
"LK Freyung-Grafenau";4914;0;128;0;78362;6270,9;0;0
"LK Fürstenfeldbruck";9746;8;140;0;219311;4443,92;20;9,12
"LK Fürth";5380;4;209;0;117853;4565,01;9;7,64
"LK Garmisch-Partenkirchen";3651;0;87;0;88424;4128,97;1;1,13
"LK Günzburg";6974;2;110;0;127027;5490,17;9;7,09
"LK Haßberge";4081;4;87;0;84384;4836,22;8;9,48
"LK Hof";6406;-1;157;0;94801;6757,31;3;3,16
"LK Kelheim";5940;0;110;0;123058;4826,99;2;1,63
"LK Kitzingen";3298;2;87;0;91155;3618,01;7;7,68
"LK Kronach";4229;1;96;0;66743;6336,24;1;1,5
"LK Kulmbach";4087;0;117;0;71566;5710,81;0;0
"LK Landsberg a.Lech";4108;3;71;0;120302;3414,74;11;9,14
"LK Landshut";8034;1;176;0;159895;5024,55;8;5
"LK Lichtenfels";3591;1;85;0;66776;5377,68;3;4,49
"LK Lindau";3452;0;63;0;81981;4210,73;2;2,44
"LK Main-Spessart";4765;1;215;0;126158;3777,01;5;3,96
"LK Miesbach";4598;1;82;0;100010;4597,54;10;10
"LK Miltenberg";6008;0;129;0;128743;4666,66;5;3,88
"LK Mühldorf a.Inn";6978;3;155;0;115872;6022,16;7;6,04
"LK München";15414;6;294;0;350473;4398,06;36;10,27
"LK Neu-Ulm";7773;4;121;0;175204;4436,54;7;4
"LK Neuburg-Schrobenhausen";4183;9;80;0;97303;4298,94;9;9,25
"LK Neumarkt i.d.OPf.";6574;0;140;0;134573;4885,08;3;2,23
"LK Neustadt a.d.Aisch-Bad Windsheim";4390;0;107;0;101014;4345,93;3;2,97
"LK Neustadt a.d.Waldnaab";5258;0;188;0;94450;5566,97;1;1,06
"LK Nürnberger Land";7461;2;185;0;170792;4368,47;12;7,03
"LK Oberallgäu";5970;3;90;0;156008;3826,73;8;5,13
"LK Ostallgäu";7165;0;134;0;141182;5075,01;2;1,42
"LK Passau";12962;0;371;0;192656;6728,05;0;0
"LK Pfaffenhofen a.d.Ilm";5665;4;159;0;128227;4417,95;9;7,02
"LK Regen";5531;0;163;0;77410;7145,07;0;0
"LK Regensburg";8318;6;205;-1;194070;4286,08;17;8,76
"LK Rhön-Grabfeld";3552;0;89;0;79635;4460,35;5;6,28
"LK Rosenheim";13945;0;462;0;261330;5336,17;11;4,21
"LK Roth";5694;3;174;0;126749;4492,34;6;4,73
"LK Rottal-Inn";7556;2;182;0;121502;6218,83;6;4,94
"LK Schwandorf";8388;0;157;0;147872;5672,47;6;4,06
"LK Schweinfurt";5153;2;139;0;115445;4463,6;8;6,93
"LK Starnberg";5133;4;113;0;136667;3755,84;24;17,56
"LK Straubing-Bogen";5371;1;141;0;101120;5311,51;2;1,98
"LK Tirschenreuth";5317;0;265;0;72046;7380,01;1;1,39
"LK Traunstein";11102;6;216;0;177319;6261,03;21;11,84
"LK Unterallgäu";7288;3;168;0;145341;5014,41;5;3,44
"LK Weilheim-Schongau";5164;-4;84;0;135478;3811,69;10;7,38
"LK Weißenburg-Gunzenhausen";3923;2;118;0;94734;4141,07;2;2,11
"LK Wunsiedel i.Fichtelgebirge";5031;0;198;0;72655;6924,51;4;5,51
"LK Würzburg";4472;1;73;0;162302;2755,36;12;7,39
"SK Amberg";1751;0;24;0;42207;4148,6;3;7,11
"SK Ansbach";1875;0;45;0;41798;4485,86;2;4,78
"SK Aschaffenburg";3501;1;115;0;71002;4930,85;6;8,45
"SK Augsburg";18047;13;404;0;296582;6085;58;19,56
"SK Bamberg";3126;8;108;0;77373;4040,17;17;21,97
"SK Bayreuth";3476;5;109;0;74783;4648,12;6;8,02
"SK Coburg";2403;0;92;0;41072;5850,7;0;0
"SK Erlangen";4008;2;95;0;112528;3561,78;5;4,44
"SK Fürth";7749;3;225;0;128497;6030,49;10;7,78
"SK Hof";3972;0;117;0;45825;8667,76;8;17,46
"SK Ingolstadt";6203;0;115;0;137392;4514,82;13;9,46
"SK Kaufbeuren";2389;0;56;0;44398;5380,87;1;2,25
"SK Kempten";3275;0;48;0;69151;4736,01;0;0
"SK Landshut";4094;5;110;0;73411;5576,82;6;8,17
"SK Memmingen";2257;0;26;0;44100;5117,91;3;6,8
"SK München";73932;58;1262;0;1484226;4981,18;205;13,81
"SK Nürnberg";34752;16;966;0;518370;6704,09;54;10,42
"SK Passau";3401;0;113;0;52803;6440,92;2;3,79
"SK Regensburg";7025;3;89;1;153094;4588,68;17;11,1
"SK Rosenheim";3941;0;67;0;63551;6201,32;4;6,29
"SK Schwabach";2155;0;105;0;40981;5258,53;3;7,32
"SK Schweinfurt";3175;1;91;0;53426;5942,8;7;13,1
"SK Straubing";2380;1;87;0;47791;4980,02;1;2,09
"SK Weiden i.d.OPf.";2697;1;98;0;42743;6309,81;1;2,34
"SK Würzburg";4577;1;125;1;127934;3577,63;27;21,1
