"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";461;2;20;0;133596;345,07;14;10,48
"LK Altötting";736;1;55;0;111210;661,81;20;17,98
"LK Amberg-Sulzbach";520;2;54;0;103109;504,32;7;6,79
"LK Ansbach";655;5;28;0;183949;356,08;15;8,15
"LK Aschaffenburg";649;4;42;0;174208;372,54;13;7,46
"LK Augsburg";622;3;11;0;251534;247,28;25;9,94
"LK Bad Kissingen";283;0;18;0;103218;274,18;4;3,88
"LK Bad Tölz-Wolfratshausen";615;4;10;0;127227;483,39;22;17,29
"LK Bamberg";463;3;36;0;147086;314,78;10;6,8
"LK Bayreuth";444;1;28;0;103656;428,34;4;3,86
"LK Berchtesgadener Land";405;12;25;0;105722;383,08;11;10,4
"LK Cham";477;0;21;0;127882;373;5;3,91
"LK Coburg";432;1;30;0;86906;497,09;5;5,75
"LK Dachau";1163;7;34;0;153884;755,76;29;18,85
"LK Deggendorf";418;2;15;0;119326;350,3;12;10,06
"LK Dillingen a.d.Donau";359;0;29;0;96021;373,88;20;20,83
"LK Dingolfing-Landau";869;1;10;0;96217;903,17;9;9,35
"LK Donau-Ries";441;5;23;0;133496;330,35;34;25,47
"LK Ebersberg";678;8;5;0;142142;476,99;24;16,88
"LK Eichstätt";397;1;20;0;132341;299,98;19;14,36
"LK Erding";807;2;11;0;137660;586,23;14;10,17
"LK Erlangen-Höchstadt";346;2;11;0;136271;253,91;10;7,34
"LK Forchheim";274;1;4;0;116099;236,01;7;6,03
"LK Freising";1205;9;46;0;179116;672,75;46;25,68
"LK Freyung-Grafenau";211;4;12;0;78355;269,29;8;10,21
"LK Fürstenfeldbruck";1143;9;36;0;219320;521,16;44;20,06
"LK Fürth";553;0;58;0;117387;471,09;18;15,33
"LK Garmisch-Partenkirchen";352;5;18;0;88467;397,89;17;19,22
"LK Günzburg";355;1;4;0;125747;282,31;23;18,29
"LK Haßberge";193;1;6;0;84599;228,14;8;9,46
"LK Hof";512;1;32;0;95311;537,19;9;9,44
"LK Kelheim";630;6;35;0;122258;515,3;18;14,72
"LK Kitzingen";240;0;4;0;90909;264;3;3,3
"LK Kronach";181;1;3;0;67135;269,61;2;2,98
"LK Kulmbach";259;0;11;0;71845;360,5;1;1,39
"LK Landsberg a.Lech";452;4;10;0;120071;376,44;23;19,16
"LK Landshut";824;4;31;0;158698;519,23;23;14,49
"LK Lichtenfels";343;2;17;0;66838;513,18;6;8,98
"LK Lindau";283;1;8;0;81669;346,52;15;18,37
"LK Main-Spessart";197;1;6;0;126365;155,9;8;6,33
"LK Miesbach";689;8;11;0;99726;690,89;20;20,05
"LK Miltenberg";381;6;5;0;128756;295,91;15;11,65
"LK Mühldorf a.Inn";618;4;27;0;115250;536,23;26;22,56
"LK München";1826;14;96;0;348871;523,4;91;26,08
"LK Neu-Ulm";647;14;26;0;174200;371,41;47;26,98
"LK Neuburg-Schrobenhausen";402;2;18;0;96680;415,8;15;15,52
"LK Neumarkt i.d.OPf.";504;6;17;0;133561;377,36;29;21,71
"LK Neustadt a.d.Aisch-Bad Windsheim";277;0;6;0;100364;276;4;3,99
"LK Neustadt a.d.Waldnaab";863;0;73;0;94352;914,66;2;2,12
"LK Nürnberger Land";739;5;44;0;170365;433,77;25;14,67
"LK Oberallgäu";240;5;7;0;155362;154,48;5;3,22
"LK Ostallgäu";625;7;39;0;140316;445,42;33;23,52
"LK Passau";709;13;31;0;192043;369,19;27;14,06
"LK Pfaffenhofen a.d.Ilm";461;6;21;0;127151;362,56;26;20,45
"LK Regen";225;2;12;0;77656;289,74;13;16,74
"LK Regensburg";640;9;16;0;193572;330,63;32;16,53
"LK Rhön-Grabfeld";219;1;8;0;79690;274,81;5;6,27
"LK Rosenheim";2487;9;199;0;260983;952,94;48;18,39
"LK Roth";341;2;7;0;126958;268,59;9;7,09
"LK Rottal-Inn";816;1;50;0;120659;676,29;20;16,58
"LK Schwandorf";573;1;20;0;147189;389,3;12;8,15
"LK Schweinfurt";598;0;25;0;115106;519,52;15;13,03
"LK Starnberg";702;0;13;0;136092;515,83;15;11,02
"LK Straubing-Bogen";595;0;29;0;100649;591,16;9;8,94
"LK Tirschenreuth";1164;1;139;1;72504;1605,43;8;11,03
"LK Traunstein";1413;6;88;0;177089;797,9;23;12,99
"LK Unterallgäu";370;6;15;0;144041;256,87;39;27,08
"LK Weilheim-Schongau";417;2;3;0;135348;308,09;18;13,3
"LK Weißenburg-Gunzenhausen";433;2;25;0;94393;458,72;20;21,19
"LK Wunsiedel i.Fichtelgebirge";696;2;41;0;73178;951,11;7;9,57
"LK Würzburg";551;20;7;0;161834;340,47;58;35,84
"SK Amberg";107;1;4;0;41970;254,94;3;7,15
