"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";3567;12;86;0;134655;2648,99;44;32,68
"LK Altötting";4154;21;175;0;111516;3725,03;125;112,09
"LK Amberg-Sulzbach";3340;47;123;2;103049;3241,18;158;153,33
"LK Ansbach";5240;37;147;3;184591;2838,71;147;79,64
"LK Aschaffenburg";5922;36;188;1;174200;3399,54;109;62,57
"LK Augsburg";7887;26;175;2;253468;3111,64;163;64,31
"LK Bad Kissingen";2396;9;82;0;103235;2320,92;72;69,74
"LK Bad Tölz-Wolfratshausen";3604;14;59;0;127917;2817,45;42;32,83
"LK Bamberg";3867;14;122;0;147163;2627,7;63;42,81
"LK Bayreuth";3584;21;128;1;103664;3457,32;105;101,29
"LK Berchtesgadener Land";4524;12;96;0;105929;4270,79;95;89,68
"LK Cham";4234;46;120;-1;127998;3307,86;211;164,85
"LK Coburg";3376;9;140;0;86747;3891,78;49;56,49
"LK Dachau";5903;28;127;0;154899;3810,87;94;60,68
"LK Deggendorf";4550;21;122;0;119478;3808,23;111;92,9
"LK Dillingen a.d.Donau";2590;9;98;1;96562;2682,21;38;39,35
"LK Dingolfing-Landau";3459;24;75;0;96683;3577,67;107;110,67
"LK Donau-Ries";3673;13;142;0;133783;2745,49;47;35,13
"LK Ebersberg";4864;23;170;1;143649;3386,03;77;53,6
"LK Eichstätt";3431;14;70;0;132881;2582,01;31;23,33
"LK Erding";5260;23;100;1;138182;3806,57;80;57,89
"LK Erlangen-Höchstadt";3765;23;112;1;137262;2742,93;73;53,18
"LK Forchheim";3529;12;97;0;116203;3036,93;100;86,06
"LK Freising";5869;14;110;0;180007;3260,43;130;72,22
"LK Freyung-Grafenau";3695;25;108;1;78362;4715,3;125;159,52
"LK Fürstenfeldbruck";7272;22;120;0;219311;3315,84;135;61,56
"LK Fürth";3927;35;180;1;117853;3332,12;96;81,46
"LK Garmisch-Partenkirchen";2590;18;80;0;88424;2929,07;44;49,76
"LK Günzburg";4438;6;95;0;127027;3493,75;35;27,55
"LK Haßberge";2492;14;69;0;84384;2953,17;37;43,85
"LK Hof";4124;25;114;0;94801;4350,17;108;113,92
"LK Kelheim";3335;26;83;0;123058;2710,1;88;71,51
"LK Kitzingen";2242;-8;78;-1;91155;2459,55;13;14,26
"LK Kronach";2394;25;70;0;66743;3586,89;115;172,3
"LK Kulmbach";2639;28;96;0;71566;3687,51;180;251,52
"LK Landsberg a.Lech";3064;9;53;0;120302;2546,92;49;40,73
"LK Landshut";5212;22;151;0;159895;3259,64;98;61,29
"LK Lichtenfels";2310;10;60;0;66776;3459,33;63;94,35
"LK Lindau";2434;10;57;0;81981;2968,98;63;76,85
"LK Main-Spessart";3355;47;186;0;126158;2659,36;121;95,91
"LK Miesbach";3272;16;57;0;100010;3271,67;66;65,99
"LK Miltenberg";4352;13;113;0;128743;3380,38;84;65,25
"LK Mühldorf a.Inn";4817;30;127;0;115872;4157,17;138;119,1
"LK München";11587;41;267;0;350473;3306,1;215;61,35
"LK Neu-Ulm";5017;27;104;0;175204;2863,52;80;45,66
"LK Neuburg-Schrobenhausen";2776;15;64;0;97303;2852,94;52;53,44
"LK Neumarkt i.d.OPf.";4293;33;109;0;134573;3190,09;86;63,91
