"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1856;1730;48;3634
"'10-19";4157;3890;67;8114
"20-29";8341;7630;129;16100
"30-39";6386;5858;81;12325
"40-49";5822;6509;70;12401
"50-59";6890;6992;58;13940
"60-69";3585;3153;17;6755
"70-79";2655;2532;14;5201
"80-89";1786;2847;9;4642
"90-99";281;919;0;1200
"100+";4;18;0;22
"Unbekannt";23;31;10;64
"Gesamt";41786;42109;503;84398
