"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";5222;4845;0;213;10280
"'10-19";10578;10026;0;278;20882
"20-29";18756;16885;1;510;36152
"30-39";14998;13604;1;470;29073
"40-49";13848;14688;3;416;28955
"50-59";16385;16092;2;293;32772
"60-69";8219;7520;3;137;15879
"70-79";5569;5601;0;67;11237
"80-89";3688;6288;0;42;10018
"90-99";636;2116;0;14;2766
"100+";14;55;0;1;70
"Unbekannt";67;54;0;227;348
"Gesamt";97980;97774;10;2668;198432
