"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";1251;32;21;0;134655;929,04;222;164,87
"LK Altötting";1273;30;57;0;111516;1141,54;270;242,12
"LK Amberg-Sulzbach";854;25;55;0;103049;828,73;173;167,88
"LK Ansbach";1497;45;32;1;184591;810,98;295;159,81
"LK Aschaffenburg";1512;63;45;0;174200;867,97;198;113,66
"LK Augsburg";2484;162;20;2;253468;980,01;613;241,85
"LK Bad Kissingen";506;12;18;0;103235;490,14;72;69,74
"LK Bad Tölz-Wolfratshausen";1192;33;13;0;127917;931,85;226;176,68
"LK Bamberg";1109;-1;40;-1;147163;753,59;202;137,26
"LK Bayreuth";753;17;29;1;103664;726,39;73;70,42
"LK Berchtesgadener Land";1503;18;28;0;105929;1418,87;150;141,6
"LK Cham";1199;23;22;0;127998;936,73;218;170,32
"LK Coburg";750;10;31;0;86747;864,58;130;149,86
"LK Dachau";2267;56;40;0;154899;1463,53;335;216,27
"LK Deggendorf";1016;13;21;0;119478;850,37;190;159,03
"LK Dillingen a.d.Donau";828;21;31;0;96562;857,48;170;176,05
"LK Dingolfing-Landau";1366;7;11;0;96683;1412,86;125;129,29
"LK Donau-Ries";1297;57;30;1;133783;969,48;255;190,61
"LK Ebersberg";1568;38;12;0;143649;1091,55;218;151,76
"LK Eichstätt";935;19;23;0;132881;703,64;192;144,49
"LK Erding";1618;49;12;0;138182;1170,92;297;214,93
"LK Erlangen-Höchstadt";869;28;11;0;137262;633,1;187;136,24
"LK Forchheim";725;31;4;0;116203;623,91;155;133,39
"LK Freising";2280;27;49;0;180007;1266,62;340;188,88
"LK Freyung-Grafenau";707;51;16;0;78362;902,22;239;304,99
"LK Fürstenfeldbruck";2766;41;38;0;219311;1261,22;279;127,22
"LK Fürth";1232;23;67;1;117853;1045,37;196;166,31
"LK Garmisch-Partenkirchen";794;28;21;0;88424;897,95;118;133,45
"LK Günzburg";1277;46;11;1;127027;1005,3;209;164,53
"LK Haßberge";531;17;6;0;84384;629,27;100;118,51
"LK Hof";850;28;35;1;94801;896,62;94;99,16
"LK Kelheim";1133;41;36;0;123058;920,7;242;196,66
"LK Kitzingen";676;10;6;0;91155;741,59;91;99,83
