"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";9323;8670;0;424;18417
"'10-19";17568;17033;1;508;35110
"20-29";29658;27531;4;1025;58218
"30-39";24665;23581;4;959;49209
"40-49";23021;25365;6;847;49239
"50-59";27645;28535;4;661;56845
"60-69";14407;13454;6;288;28155
"70-79";9861;10622;7;179;20669
"80-89";7578;13868;24;179;21649
"90-99";1484;5098;4;66;6652
"100+";40;127;0;7;174
"Unbekannt";140;144;0;47;331
"Gesamt";165390;174028;60;5190;344668
