"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";200;11;7;2;133596;149,71;66;49,4
"LK Altötting";329;16;8;0;111210;295,84;173;155,56
"LK Amberg-Sulzbach";205;21;3;0;103109;198,82;121;117,35
"LK Ansbach";298;20;4;1;183949;162;138;75,02
"LK Aschaffenburg";275;19;13;0;174208;157,86;101;57,98
"LK Augsburg";287;11;1;0;251534;114,1;90;35,78
"LK Bad Kissingen";145;17;1;0;103218;140,48;50;48,44
"LK Bad Tölz-Wolfratshausen";308;29;4;0;127227;242,09;123;96,68
"LK Bamberg";313;28;13;2;147086;212,8;122;82,94
"LK Bayreuth";217;11;4;0;103656;209,35;100;96,47
"LK Berchtesgadener Land";168;14;3;0;105722;158,91;70;66,21
"LK Cham";312;20;5;0;127882;243,97;83;64,9
"LK Coburg";82;0;1;0;86906;94,35;29;33,37
"LK Dachau";505;29;5;0;153884;328,17;190;123,47
"LK Deggendorf";166;9;4;0;119326;139,11;39;32,68
"LK Dillingen a.d.Donau";96;6;1;0;96021;99,98;43;44,78
"LK Dingolfing-Landau";139;2;1;0;96217;144,47;44;45,73
"LK Donau-Ries";236;11;9;3;133496;176,78;141;105,62
"LK Ebersberg";298;6;1;0;142142;209,65;87;61,21
"LK Eichstätt";152;8;2;0;132341;114,85;55;41,56
"LK Erding";437;16;5;0;137660;317,45;118;85,72
"LK Erlangen-Höchstadt";146;7;2;0;136271;107,14;68;49,9
"LK Forchheim";152;7;2;0;116099;130,92;50;43,07
"LK Freising";748;32;20;5;179116;417,61;239;133,43
"LK Freyung-Grafenau";115;0;5;2;78355;146,77;25;31,91
"LK Fürstenfeldbruck";579;30;15;8;219320;264;192;87,54
"LK Fürth";314;24;20;13;117387;267,49;83;70,71
"LK Garmisch-Partenkirchen";193;8;2;1;88467;218,16;69;78
"LK Günzburg";161;6;1;0;125747;128,03;41;32,61
"LK Haßberge";89;0;0;0;84599;105,2;23;27,19
"LK Hof";242;21;5;1;95311;253,91;124;130,1
"LK Kelheim";281;5;14;2;122258;229,84;130;106,33
"LK Kitzingen";72;7;0;0;90909;79,2;35;38,5
"LK Kronach";69;0;0;0;67135;102,78;18;26,81
"LK Kulmbach";120;6;4;2;71845;167,03;47;65,42
