"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";531;511;16;1058
"'10-19";1171;1371;11;2553
"20-29";3055;3241;42;6338
"30-39";2794;2871;24;5689
"40-49";2903;3541;18;6462
"50-59";3982;4454;11;8447
"60-69";2335;2022;11;4368
"70-79";1915;1812;6;3733
"80-89";1394;2191;0;3585
"90-99";218;708;3;929
"100+";0;14;1;15
"Unbekannt";11;14;2;27
"Gesamt";20309;22750;145;43204
