"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";5214;9;101;0;134655;3872,12;30;22,28
"LK Altötting";6074;0;210;0;111516;5446,75;16;14,35
"LK Amberg-Sulzbach";4849;3;160;0;103049;4705,53;14;13,59
"LK Ansbach";8423;0;197;0;184591;4563,06;13;7,04
"LK Aschaffenburg";8036;3;213;0;174200;4613,09;9;5,17
"LK Augsburg";11499;2;231;0;253468;4536,67;27;10,65
"LK Bad Kissingen";3645;1;104;0;103235;3530,78;1;0,97
"LK Bad Tölz-Wolfratshausen";5123;3;79;0;127917;4004,94;31;24,23
"LK Bamberg";5669;4;145;0;147163;3852,19;44;29,9
"LK Bayreuth";4936;0;163;0;103664;4761,54;2;1,93
"LK Berchtesgadener Land";6043;2;102;0;105929;5704,76;9;8,5
"LK Cham";7136;0;182;0;127998;5575,09;1;0,78
"LK Coburg";4889;0;161;0;86747;5635,93;0;0
"LK Dachau";8256;0;143;0;154899;5329,92;11;7,1
"LK Deggendorf";7024;6;160;0;119478;5878,91;25;20,92
"LK Dillingen a.d.Donau";3811;4;115;0;96562;3946,69;25;25,89
"LK Dingolfing-Landau";5838;1;99;0;96683;6038,29;18;18,62
"LK Donau-Ries";6014;2;165;0;133783;4495,34;6;4,48
"LK Ebersberg";6399;3;181;0;143649;4454,61;21;14,62
"LK Eichstätt";5087;2;86;0;132881;3828,24;9;6,77
"LK Erding";6993;4;118;0;138182;5060,72;20;14,47
"LK Erlangen-Höchstadt";5435;2;130;0;137262;3959,58;9;6,56
"LK Forchheim";4810;6;113;0;116203;4139,31;16;13,77
"LK Freising";8244;3;130;0;180007;4579,82;38;21,11
"LK Freyung-Grafenau";4917;1;128;0;78362;6274,72;3;3,83
"LK Fürstenfeldbruck";9773;4;140;0;219311;4456,23;37;16,87
"LK Fürth";5386;1;209;0;117853;4570,1;10;8,49
"LK Garmisch-Partenkirchen";3656;0;87;0;88424;4134,62;5;5,65
"LK Günzburg";7013;3;110;0;127027;5520,87;13;10,23
"LK Haßberge";4084;1;87;0;84384;4839,78;7;8,3
"LK Hof";6408;0;157;0;94801;6759,42;3;3,16
"LK Kelheim";5942;0;110;0;123058;4828,62;2;1,63
"LK Kitzingen";3302;1;87;0;91155;3622,4;6;6,58
"LK Kronach";4234;0;96;0;66743;6343,74;6;8,99
"LK Kulmbach";4087;0;117;0;71566;5710,81;0;0
"LK Landsberg a.Lech";4116;0;71;0;120302;3421,39;10;8,31
"LK Landshut";8036;0;175;0;159895;5025,8;5;3,13
"LK Lichtenfels";3590;0;85;0;66776;5376,18;2;3
"LK Lindau";3453;0;63;0;81981;4211,95;3;3,66
"LK Main-Spessart";4771;1;215;0;126158;3781,77;7;5,55
"LK Miesbach";4602;1;82;0;100010;4601,54;5;5
"LK Miltenberg";6009;0;129;0;128743;4667,44;2;1,55
"LK Mühldorf a.Inn";6987;3;155;0;115872;6029,93;14;12,08
"LK München";15454;15;294;0;350473;4409,47;55;15,69
"LK Neu-Ulm";7781;0;121;0;175204;4441,11;12;6,85
"LK Neuburg-Schrobenhausen";4199;4;80;0;97303;4315,39;25;25,69
"LK Neumarkt i.d.OPf.";6575;0;142;0;134573;4885,82;2;1,49
"LK Neustadt a.d.Aisch-Bad Windsheim";4391;0;107;0;101014;4346,92;2;1,98
"LK Neustadt a.d.Waldnaab";5259;1;188;0;94450;5568,03;1;1,06
"LK Nürnberger Land";7462;0;185;0;170792;4369,06;7;4,1
"LK Oberallgäu";5972;-2;90;0;156008;3828,01;8;5,13
"LK Ostallgäu";7169;0;134;0;141182;5077,84;4;2,83
"LK Passau";12968;3;371;0;192656;6731,17;5;2,6
"LK Pfaffenhofen a.d.Ilm";5665;-1;159;0;128227;4417,95;5;3,9
"LK Regen";5532;1;163;0;77410;7146,36;1;1,29
"LK Regensburg";8340;2;205;0;194070;4297,42;30;15,46
"LK Rhön-Grabfeld";3554;0;89;0;79635;4462,86;4;5,02
"LK Rosenheim";13961;2;462;0;261330;5342,29;18;6,89
"LK Roth";5699;2;174;0;126749;4496,29;9;7,1
"LK Rottal-Inn";7561;0;182;0;121502;6222,94;7;5,76
"LK Schwandorf";8393;1;157;0;147872;5675,85;5;3,38
"LK Schweinfurt";5155;0;139;0;115445;4465,33;6;5,2
"LK Starnberg";5155;6;113;0;136667;3771,94;34;24,88
"LK Straubing-Bogen";5377;1;141;0;101120;5317,44;8;7,91
"LK Tirschenreuth";5317;0;265;0;72046;7380,01;0;0
"LK Traunstein";11121;4;217;0;177319;6271,75;28;15,79
"LK Unterallgäu";7291;0;168;0;145341;5016,48;7;4,82
"LK Weilheim-Schongau";5168;0;84;0;135478;3814,64;9;6,64
"LK Weißenburg-Gunzenhausen";3926;0;118;0;94734;4144,24;5;5,28
"LK Wunsiedel i.Fichtelgebirge";5032;1;198;0;72655;6925,88;1;1,38
"LK Würzburg";4474;1;73;0;162302;2756,59;4;2,46
"SK Amberg";1765;0;24;0;42207;4181,77;14;33,17
"SK Ansbach";1877;0;45;0;41798;4490,65;2;4,78
"SK Aschaffenburg";3508;3;115;0;71002;4940,71;8;11,27
"SK Augsburg";18090;6;404;0;296582;6099,49;54;18,21
"SK Bamberg";3145;5;108;0;77373;4064,73;26;33,6
"SK Bayreuth";3478;0;109;0;74783;4650,79;6;8,02
"SK Coburg";2404;0;92;0;41072;5853,14;1;2,43
"SK Erlangen";4018;4;95;0;112528;3570,67;12;10,66
"SK Fürth";7755;2;225;0;128497;6035,16;8;6,23
"SK Hof";3973;0;117;0;45825;8669,94;1;2,18
"SK Ingolstadt";6223;1;115;0;137392;4529,38;20;14,56
"SK Kaufbeuren";2393;0;56;0;44398;5389,88;5;11,26
"SK Kempten";3278;-1;48;0;69151;4740,35;5;7,23
"SK Landshut";4102;2;110;0;73411;5587,72;13;17,71
"SK Memmingen";2258;1;26;0;44100;5120,18;2;4,54
"SK München";74108;24;1265;0;1484226;4993,04;254;17,11
"SK Nürnberg";34782;2;968;0;518370;6709,88;51;9,84
"SK Passau";3402;1;113;0;52803;6442,82;1;1,89
"SK Regensburg";7046;5;89;0;153094;4602,4;28;18,29
"SK Rosenheim";3946;1;67;0;63551;6209,19;7;11,01
"SK Schwabach";2155;0;105;0;40981;5258,53;1;2,44
"SK Schweinfurt";3179;3;91;0;53426;5950,29;7;13,1
"SK Straubing";2382;0;87;0;47791;4984,2;3;6,28
"SK Weiden i.d.OPf.";2698;0;98;0;42743;6312,14;2;4,68
"SK Würzburg";4591;4;124;0;127934;3588,57;20;15,63
