"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";9244;8591;0;423;18258
"'10-19";17412;16882;1;504;34799
"20-29";29372;27283;4;1004;57663
"30-39";24398;23341;4;946;48689
"40-49";22777;25133;4;833;48747
"50-59";27401;28250;3;646;56300
"60-69";14270;13289;5;282;27846
"70-79";9741;10526;6;170;20443
"80-89";7488;13678;21;159;21346
"90-99";1470;5035;2;43;6550
"100+";41;124;0;7;172
"Unbekannt";137;142;0;47;326
"Gesamt";163751;172274;50;5064;341139
