"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";4951;24;91;0;134655;3676,8;154;114,37
"LK Altötting";5748;30;206;1;111516;5154,42;193;173,07
"LK Amberg-Sulzbach";4655;20;154;2;103049;4517,27;77;74,72
"LK Ansbach";7891;14;170;2;184591;4274,86;223;120,81
"LK Aschaffenburg";7687;34;196;0;174200;4412,74;191;109,64
"LK Augsburg";10746;47;206;2;253468;4239,59;363;143,21
"LK Bad Kissingen";3390;39;96;0;103235;3283,77;113;109,46
"LK Bad Tölz-Wolfratshausen";4791;12;73;0;127917;3745,4;121;94,59
"LK Bamberg";5170;32;135;1;147163;3513,11;198;134,54
"LK Bayreuth";4787;14;156;0;103664;4617,8;77;74,28
"LK Berchtesgadener Land";5599;8;99;0;105929;5285,62;90;84,96
"LK Cham";6830;13;172;1;127998;5336,02;146;114,06
"LK Coburg";4430;42;153;3;86747;5106,8;263;303,18
"LK Dachau";7936;29;136;0;154899;5123,34;182;117,5
"LK Deggendorf";6533;24;147;1;119478;5467,95;205;171,58
"LK Dillingen a.d.Donau";3377;11;108;0;96562;3497,23;82;84,92
"LK Dingolfing-Landau";5372;41;86;1;96683;5556,3;208;215,14
"LK Donau-Ries";5564;23;155;1;133783;4158,97;156;116,61
"LK Ebersberg";6026;0;175;0;143649;4194,95;136;94,68
"LK Eichstätt";4810;23;81;2;132881;3619,78;114;85,79
"LK Erding";6689;43;111;1;138182;4840,72;133;96,25
"LK Erlangen-Höchstadt";5142;24;124;0;137262;3746,12;137;99,81
"LK Forchheim";4547;1;110;0;116203;3912,98;99;85,2
"LK Freising";7964;33;123;0;180007;4424,27;189;105
"LK Freyung-Grafenau";4687;14;119;1;78362;5981,22;101;128,89
"LK Fürstenfeldbruck";9309;18;134;0;219311;4244,66;218;99,4
"LK Fürth";5033;29;202;0;117853;4270,57;148;125,58
"LK Garmisch-Partenkirchen";3410;9;87;0;88424;3856,42;79;89,34
"LK Günzburg";6167;43;103;0;127027;4854,87;246;193,66
"LK Haßberge";3853;16;86;1;84384;4566,03;83;98,36
"LK Hof";6160;24;147;0;94801;6497,82;136;143,46
"LK Kelheim";5554;34;105;0;123058;4513,32;232;188,53
"LK Kitzingen";2996;13;83;0;91155;3286,71;57;62,53
"LK Kronach";3909;21;89;0;66743;5856,79;124;185,79
"LK Kulmbach";3968;18;111;0;71566;5544,53;75;104,8
"LK Landsberg a.Lech";3916;5;64;0;120302;3255,14;81;67,33
"LK Landshut";7576;39;165;0;159895;4738,11;302;188,87
"LK Lichtenfels";3331;38;80;0;66776;4988,32;119;178,21
"LK Lindau";3210;28;62;0;81981;3915,54;65;79,29
"LK Main-Spessart";4470;20;207;0;126158;3543,18;92;72,92
"LK Miesbach";4190;27;77;1;100010;4189,58;135;134,99
"LK Miltenberg";5564;21;122;1;128743;4321,79;180;139,81
"LK Mühldorf a.Inn";6731;19;148;1;115872;5809;187;161,38
"LK München";14693;45;287;0;350473;4192,33;274;78,18
"LK Neu-Ulm";6853;62;112;0;175204;3911,44;281;160,38
"LK Neuburg-Schrobenhausen";3925;16;74;0;97303;4033,79;79;81,19
"LK Neumarkt i.d.OPf.";6053;51;119;0;134573;4497,93;193;143,42
"LK Neustadt a.d.Aisch-Bad Windsheim";4154;18;101;1;101014;4112,3;121;119,79
"LK Neustadt a.d.Waldnaab";5126;7;164;0;94450;5427,21;39;41,29
"LK Nürnberger Land";6910;39;172;0;170792;4045,86;155;90,75
"LK Oberallgäu";5690;45;76;0;156008;3647,25;178;114,1
"LK Ostallgäu";6746;39;123;2;141182;4778,23;205;145,2
"LK Passau";12571;44;356;2;192656;6525,1;206;106,93
"LK Pfaffenhofen a.d.Ilm";5424;22;157;1;128227;4230;157;122,44
"LK Regen";5360;12;160;0;77410;6924,17;77;99,47
"LK Regensburg";7694;33;178;0;194070;3964,55;217;111,82
"LK Rhön-Grabfeld";3311;15;85;0;79635;4157,72;93;116,78
"LK Rosenheim";13257;50;450;1;261330;5072,9;268;102,55
"LK Roth";5466;27;166;1;126749;4312,46;134;105,72
"LK Rottal-Inn";7059;33;166;1;121502;5809,78;226;186,01
"LK Schwandorf";7958;27;151;0;147872;5381,68;148;100,09
"LK Schweinfurt";4749;26;124;0;115445;4113,65;227;196,63
"LK Starnberg";4906;11;111;0;136667;3589,75;92;67,32
"LK Straubing-Bogen";5081;20;135;0;101120;5024,72;140;138,45
"LK Tirschenreuth";5254;12;263;0;72046;7292,56;46;63,85
"LK Traunstein";10548;25;208;0;177319;5948,6;280;157,91
"LK Unterallgäu";6485;41;135;1;145341;4461,92;320;220,17
"LK Weilheim-Schongau";4684;27;74;0;135478;3457,39;137;101,12
"LK Weißenburg-Gunzenhausen";3694;14;114;0;94734;3899,34;98;103,45
"LK Wunsiedel i.Fichtelgebirge";4940;8;193;0;72655;6799,26;57;78,45
"LK Würzburg";4196;23;69;0;162302;2585,3;107;65,93
"SK Amberg";1687;6;22;0;42207;3996,97;39;92,4
"SK Ansbach";1724;2;44;0;41798;4124,6;48;114,84
"SK Aschaffenburg";3151;14;106;0;71002;4437,9;84;118,31
"SK Augsburg";16823;119;385;2;296582;5672,29;577;194,55
"SK Bamberg";2900;12;102;1;77373;3748,08;43;55,57
"SK Bayreuth";3373;9;107;1;74783;4510,38;73;97,62
"SK Coburg";2155;13;87;0;41072;5246,88;98;238,61
"SK Erlangen";3769;20;92;0;112528;3349,39;104;92,42
"SK Fürth";7124;44;203;0;128497;5544,1;237;184,44
"SK Hof";3818;11;113;0;45825;8331,7;99;216,04
"SK Ingolstadt";5685;28;100;0;137392;4137,8;170;123,73
"SK Kaufbeuren";2213;8;51;0;44398;4984,46;64;144,15
"SK Kempten";2747;26;43;0;69151;3972,47;119;172,09
"SK Landshut";3813;35;107;1;73411;5194,04;151;205,69
"SK Memmingen";1942;16;24;0;44100;4403,63;97;219,95
"SK München";69509;239;1197;4;1484226;4683,18;1397;94,12
"SK Nürnberg";32332;164;916;0;518370;6237,24;1032;199,09
"SK Passau";3317;4;112;0;52803;6281,84;16;30,3
"SK Regensburg";6570;33;73;0;153094;4291,48;173;113
"SK Rosenheim";3759;15;59;0;63551;5914,93;109;171,52
"SK Schwabach";2069;7;104;0;40981;5048,68;30;73,2
"SK Schweinfurt";2766;22;75;0;53426;5177,25;146;273,28
"SK Straubing";2230;16;81;0;47791;4666,15;81;169,49
"SK Weiden i.d.OPf.";2658;13;73;0;42743;6218,56;37;86,56
"SK Würzburg";4199;17;112;0;127934;3282,16;109;85,2
