"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";18115;16809;1;722;35647
"'10-19";30007;29114;5;869;59995
"20-29";49110;45185;5;1477;95777
"30-39";42507;39732;8;1361;83608
"40-49";39627;42070;6;1261;82964
"50-59";46722;46328;7;1005;94062
"60-69";24072;22466;3;439;46980
"70-79";15270;16334;6;286;31896
"80-89";11145;19881;18;323;31367
"90-99";2073;7065;5;109;9252
"100+";33;156;0;10;199
"Unbekannt";36;28;0;28;92
"Gesamt";278717;285168;64;7890;571839
