"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";299;301;7;607
"'10-19";697;777;8;1482
"20-29";1719;1919;29;3667
"30-39";1748;1776;28;3552
"40-49";1925;2187;29;4141
"50-59";2545;2619;31;5195
"60-69";1440;1177;19;2636
"70-79";1119;949;11;2079
"80-89";680;910;5;1595
"90-99";79;265;4;348
"100+";3;6;0;9
"Unbekannt";20;19;5;44
"Gesamt";12274;12905;176;25355
