"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";624;594;7;1225
"'10-19";1276;1472;9;2757
"20-29";3494;3519;33;7046
"30-39";3067;3125;19;6211
"40-49";3099;3799;12;6910
"50-59";4210;4763;2;8975
"60-69";2504;2138;5;4647
"70-79";2049;1951;2;4002
"80-89";1503;2393;3;3899
"90-99";244;792;2;1038
"100+";2;16;0;18
"Unbekannt";9;8;0;17
"Gesamt";22081;24570;94;46745
