"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";3945;18;89;1;134655;2929,71;142;105,45
"LK Altötting";4588;28;193;0;111516;4114,21;162;145,27
"LK Amberg-Sulzbach";4042;21;137;1;103049;3922,41;213;206,7
"LK Ansbach";6083;48;155;1;184591;3295,39;305;165,23
"LK Aschaffenburg";6508;36;190;0;174200;3735,94;187;107,35
"LK Augsburg";8695;65;180;1;253468;3430,41;324;127,83
"LK Bad Kissingen";2710;42;88;1;103235;2625,08;103;99,77
"LK Bad Tölz-Wolfratshausen";3902;11;63;0;127917;3050,42;104;81,3
"LK Bamberg";4197;29;126;0;147163;2851,94;122;82,9
"LK Bayreuth";4079;66;143;0;103664;3934,83;169;163,03
"LK Berchtesgadener Land";4904;22;98;0;105929;4629,52;100;94,4
"LK Cham";5423;65;140;2;127998;4236,78;420;328,13
"LK Coburg";3564;16;142;0;86747;4108,5;77;88,76
"LK Dachau";6677;34;130;0;154899;4310,55;295;190,45
"LK Deggendorf";5196;59;131;0;119478;4348,92;257;215,1
"LK Dillingen a.d.Donau";2798;20;102;0;96562;2897,62;92;95,28
"LK Dingolfing-Landau";3951;47;78;0;96683;4086,55;196;202,72
"LK Donau-Ries";4291;41;143;0;133783;3207,43;194;145,01
"LK Ebersberg";5232;22;170;0;143649;3642,21;117;81,45
"LK Eichstätt";3904;35;72;1;132881;2937,97;206;155,03
"LK Erding";5660;28;104;0;138182;4096,05;147;106,38
"LK Erlangen-Höchstadt";4275;14;115;-1;137262;3114,48;137;99,81
"LK Forchheim";3933;12;102;0;116203;3384,59;119;102,41
"LK Freising";6525;38;117;0;180007;3624,86;242;134,44
"LK Freyung-Grafenau";4029;13;111;0;78362;5141,52;118;150,58
"LK Fürstenfeldbruck";7823;-23;127;0;219311;3567,08;192;87,55
"LK Fürth";4291;17;186;0;117853;3640,98;109;92,49
"LK Garmisch-Partenkirchen";2903;80;81;0;88424;3283,05;108;122,14
"LK Günzburg";4808;17;95;0;127027;3785,02;104;81,87
"LK Haßberge";2848;91;73;1;84384;3375,05;144;170,65
"LK Hof";4772;29;118;0;94801;5033,7;196;206,75
"LK Kelheim";4185;174;87;0;123058;3400,84;367;298,23
"LK Kitzingen";2496;27;80;-1;91155;2738,19;142;155,78
"LK Kronach";2938;49;82;1;66743;4401,96;191;286,17
"LK Kulmbach";3339;46;99;0;71566;4665,62;241;336,75
"LK Landsberg a.Lech";3322;22;61;0;120302;2761,38;127;105,57
"LK Landshut";5943;57;154;0;159895;3716,81;235;146,97
"LK Lichtenfels";2625;24;67;0;66776;3931,05;132;197,68
"LK Lindau";2742;25;58;0;81981;3344,68;109;132,96
"LK Main-Spessart";3796;86;189;1;126158;3008,93;111;87,98
"LK Miesbach";3518;24;61;0;100010;3517,65;97;96,99
"LK Miltenberg";4696;16;116;0;128743;3647,58;124;96,32
"LK Mühldorf a.Inn";5266;24;134;0;115872;4544,67;187;161,38
"LK München";12527;46;275;0;350473;3574,31;346;98,72
"LK Neu-Ulm";5370;34;105;0;175204;3065;174;99,31
"LK Neuburg-Schrobenhausen";3170;20;65;0;97303;3257,86;139;142,85
"LK Neumarkt i.d.OPf.";4858;45;112;0;134573;3609,94;244;181,31
"LK Neustadt a.d.Aisch-Bad Windsheim";3169;28;89;0;101014;3137,19;113;111,87
"LK Neustadt a.d.Waldnaab";4641;18;153;0;94450;4913,71;119;125,99
"LK Nürnberger Land";5580;-8;160;0;170792;3267,13;127;74,36
"LK Oberallgäu";4528;37;59;0;156008;2902,42;273;174,99
"LK Ostallgäu";5162;109;110;1;141182;3656,27;463;327,95
"LK Passau";11131;49;346;1;192656;5777,66;244;126,65
"LK Pfaffenhofen a.d.Ilm";4430;23;148;0;128227;3454,81;203;158,31
"LK Regen";4727;24;153;0;77410;6106,45;137;176,98
"LK Regensburg";6043;188;171;0;194070;3113,82;377;194,26
"LK Rhön-Grabfeld";2594;39;69;0;79635;3257,36;156;195,89
"LK Rosenheim";11821;37;434;2;261330;4523,4;261;99,87
"LK Roth";4670;27;162;0;126749;3684,45;201;158,58
"LK Rottal-Inn";5721;26;159;0;121502;4708,56;144;118,52
"LK Schwandorf";6857;70;133;1;147872;4637,12;429;290,12
"LK Schweinfurt";3626;0;113;0;115445;3140,89;13;11,26
"LK Starnberg";4245;19;107;0;136667;3106,09;161;117,8
"LK Straubing-Bogen";4106;31;124;0;101120;4060,52;148;146,36
"LK Tirschenreuth";4962;13;252;0;72046;6887,27;109;151,29
"LK Traunstein";8594;46;197;2;177319;4846,63;335;188,93
"LK Unterallgäu";5013;44;121;0;145341;3449,13;270;185,77
"LK Weilheim-Schongau";3833;26;59;0;135478;2829,24;144;106,29
"LK Weißenburg-Gunzenhausen";2990;21;106;0;94734;3156,21;143;150,95
"LK Wunsiedel i.Fichtelgebirge";4497;23;182;0;72655;6189,53;171;235,36
"LK Würzburg";3433;-5;62;0;162302;2115,19;122;75,17
"SK Amberg";1346;16;19;0;42207;3189,04;79;187,17
"SK Ansbach";1409;4;42;0;41798;3370,97;27;64,6
"SK Aschaffenburg";2555;11;98;0;71002;3598,49;71;100
"SK Augsburg";13673;82;354;0;296582;4610,19;543;183,09
"SK Bamberg";2481;14;98;1;77373;3206,54;113;146,05
"SK Bayreuth";2771;65;101;1;74783;3705,39;129;172,5
"SK Coburg";1745;13;86;0;41072;4248,64;38;92,52
"SK Erlangen";3182;13;89;0;112528;2827,74;86;76,43
"SK Fürth";5689;22;184;2;128497;4427,34;223;173,54
"SK Hof";2985;10;92;0;45825;6513,91;146;318,6
"SK Ingolstadt";4553;23;93;1;137392;3313,88;152;110,63
"SK Kaufbeuren";1732;21;48;0;44398;3901,08;86;193,7
"SK Kempten";1941;35;34;0;69151;2806,9;155;224,15
"SK Landshut";3098;20;98;0;73411;4220,08;81;110,34
"SK Memmingen";1436;10;21;0;44100;3256,24;86;195,01
"SK München";59510;285;1118;2;1484226;4009,5;1547;104,23
"SK Nürnberg";27181;219;856;3;518370;5243,55;1000;192,91
"SK Passau";3066;24;109;0;52803;5806,49;76;143,93
"SK Regensburg";5284;135;68;0;153094;3451,47;207;135,21
"SK Rosenheim";3290;19;55;0;63551;5176,94;77;121,16
"SK Schwabach";1773;8;100;0;40981;4326,4;60;146,41
"SK Schweinfurt";1774;0;61;0;53426;3320,48;13;24,33
"SK Straubing";1799;10;78;0;47791;3764,31;82;171,58
"SK Weiden i.d.OPf.";2430;6;72;1;42743;5685,14;35;81,88
"SK Würzburg";3354;-10;100;0;127934;2621,66;79;61,75
