"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";2381;2206;63;4650
"'10-19";5267;4940;98;10305
"20-29";10197;9204;184;19585
"30-39";7814;7088;123;15025
"40-49";7111;7796;109;15016
"50-59";8470;8388;85;16943
"60-69";4293;3794;33;8120
"70-79";3095;2977;22;6094
"80-89";2012;3150;16;5178
"90-99";309;1012;2;1323
"100+";5;26;0;31
"Unbekannt";39;42;16;97
"Gesamt";50993;50623;751;102367
