"Meldewoche";"Altersgruppen.Inz";"Inzidenz";"Anzahl";"NA"
"2020";"05";"'05-09";0;0
"2020";"05";"'10-14";0;0
"2020";"05";"00-04";0,156509218392963;1
"2020";"05";"15-19";0;0
"2020";"05";"20-34";0,119559066163987;3
"2020";"05";"35-59";0,107844501170652;5
"2020";"05";"60-79";0;0
"2020";"05";"80+";0;0
"2020";"05";"Gesamt";0,0685728026397786;9
"2020";"06";"'05-09";0;0
"2020";"06";"'10-14";0;0
"2020";"06";"00-04";0,156509218392963;1
"2020";"06";"15-19";0;0
"2020";"06";"20-34";0,0797060441093248;2
"2020";"06";"35-59";0,0647067007023912;3
"2020";"06";"60-79";0;0
"2020";"06";"80+";0;0
"2020";"06";"Gesamt";0,0457152017598524;6
"2020";"07";"'05-09";0;0
"2020";"07";"'10-14";0;0
"2020";"07";"00-04";0,156509218392963;1
"2020";"07";"15-19";0;0
"2020";"07";"20-34";0;0
"2020";"07";"35-59";0,0431378004682608;2
"2020";"07";"60-79";0;0
"2020";"07";"80+";0;0
"2020";"07";"Gesamt";0,0228576008799262;3
"2020";"08";"'05-09";0;0
"2020";"08";"'10-14";0;0
"2020";"08";"00-04";0;0
"2020";"08";"15-19";0;0
"2020";"08";"20-34";0,0398530220546624;1
"2020";"08";"35-59";0;0
"2020";"08";"60-79";0;0
"2020";"08";"80+";0;0
"2020";"08";"Gesamt";0,00761920029330873;1
"2020";"09";"'05-09";0;0
"2020";"09";"'10-14";0;0
"2020";"09";"00-04";0;0
"2020";"09";"15-19";0;0
"2020";"09";"20-34";0,0797060441093248;2
"2020";"09";"35-59";0,129413401404782;6
"2020";"09";"60-79";0,036724417036604;1
"2020";"09";"80+";0;0
"2020";"09";"Gesamt";0,0685728026397786;9
"2020";"10";"'05-09";0,51310557147133;3
"2020";"10";"'10-14";0,867861190809697;5
"2020";"10";"00-04";0,156509218392963;1
"2020";"10";"15-19";0,960023040552973;6
"2020";"10";"20-34";0,916619507257235;23
"2020";"10";"35-59";1,81178761966695;84
"2020";"10";"60-79";0,257070919256228;7
"2020";"10";"80+";0,360794180149345;3
