"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";2304;37;45;0;134655;1711,04;172;127,73
"LK Altötting";2432;19;77;3;111516;2180,85;225;201,76
"LK Amberg-Sulzbach";1765;26;77;0;103049;1712,78;207;200,88
"LK Ansbach";2627;20;62;0;184591;1423,15;199;107,81
"LK Aschaffenburg";2890;68;53;0;174200;1659,01;275;157,86
"LK Augsburg";4930;115;45;1;253468;1945,02;554;218,57
"LK Bad Kissingen";1051;30;19;0;103235;1018,07;187;181,14
"LK Bad Tölz-Wolfratshausen";2103;77;16;0;127917;1644,03;182;142,28
"LK Bamberg";1814;70;55;0;147163;1232,65;148;100,57
"LK Bayreuth";1186;26;33;0;103664;1144,08;126;121,55
"LK Berchtesgadener Land";2247;38;46;1;105929;2121,23;153;144,44
"LK Cham";1965;37;41;1;127998;1535,18;149;116,41
"LK Coburg";1606;71;49;1;86747;1851,36;238;274,36
"LK Dachau";3825;78;67;0;154899;2469,35;366;236,28
"LK Deggendorf";1842;62;31;1;119478;1541,71;249;208,41
"LK Dillingen a.d.Donau";1548;26;59;2;96562;1603,12;159;164,66
"LK Dingolfing-Landau";2047;43;33;1;96683;2117,23;178;184,11
"LK Donau-Ries";2095;18;42;0;133783;1565,97;143;106,89
"LK Ebersberg";2784;108;35;1;143649;1938,06;316;219,98
"LK Eichstätt";1912;58;36;0;132881;1438,88;214;161,05
"LK Erding";3175;63;27;0;138182;2297,69;390;282,24
"LK Erlangen-Höchstadt";1964;66;39;0;137262;1430,84;246;179,22
"LK Forchheim";1510;36;19;0;116203;1299,45;196;168,67
"LK Freising";3447;57;53;0;180007;1914,93;271;150,55
"LK Freyung-Grafenau";1879;57;35;0;78362;2397,85;278;354,76
"LK Fürstenfeldbruck";4536;52;73;4;219311;2068,3;340;155,03
"LK Fürth";2195;49;99;4;117853;1862,49;227;192,61
"LK Garmisch-Partenkirchen";1349;40;27;1;88424;1525,6;161;182,08
"LK Günzburg";2850;83;40;0;127027;2243,62;337;265,3
"LK Haßberge";1344;46;27;0;84384;1592,72;155;183,68
"LK Hof";1719;42;45;0;94801;1813,27;270;284,81
"LK Kelheim";1840;33;40;1;123058;1495,23;161;130,83
"LK Kitzingen";1067;24;12;0;91155;1170,53;95;104,22
"LK Kronach";1106;54;21;0;66743;1657,1;143;214,25
"LK Kulmbach";891;12;14;1;71566;1245;83;115,98
"LK Landsberg a.Lech";1933;64;22;0;120302;1606,79;223;185,37
"LK Landshut";2994;45;82;3;159895;1872,48;392;245,16
"LK Lichtenfels";1209;31;33;0;66776;1810,53;102;152,75
"LK Lindau";1352;30;17;3;81981;1649,16;163;198,83
"LK Main-Spessart";1772;46;65;2;126158;1404,59;325;257,61
"LK Miesbach";1956;29;13;0;100010;1955,8;145;144,99
"LK Miltenberg";2109;37;29;0;128743;1638,15;179;139,04
"LK Mühldorf a.Inn";2648;56;49;4;115872;2285,28;271;233,88
"LK München";6702;97;124;1;350473;1912,27;509;145,23
"LK Neu-Ulm";3042;61;39;0;175204;1736,26;380;216,89
"LK Neuburg-Schrobenhausen";1663;36;41;0;97303;1709,09;183;188,07
"LK Neumarkt i.d.OPf.";2127;34;61;1;134573;1580,55;349;259,34
"LK Neustadt a.d.Aisch-Bad Windsheim";1461;76;21;1;101014;1446,33;192;190,07
"LK Neustadt a.d.Waldnaab";2118;30;82;1;94450;2242,46;158;167,28
"LK Nürnberger Land";2682;44;63;0;170792;1570,33;385;225,42
"LK Oberallgäu";2087;53;22;0;156008;1337,75;242;155,12
"LK Ostallgäu";2443;55;53;0;141182;1730,39;251;177,78
