"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";3067;2833;0;99;5999
"'10-19";6654;6310;0;153;13117
"20-29";12676;11442;0;267;24385
"30-39";9817;8750;1;221;18789
"40-49";8948;9633;1;192;18774
"50-59";10698;10487;1;149;21335
"60-69";5392;4788;2;59;10241
"70-79";3749;3693;0;40;7482
"80-89";2393;3788;0;20;6201
"90-99";385;1214;0;5;1604
"100+";7;29;0;0;36
"Unbekannt";67;64;0;53;184
"Gesamt";63853;63031;5;1258;128147
