"Regierungsbezirk Land-/Stadtkreis";"Anzahl Fälle";"Änderung zum Vortag Fälle";"Anzahl Todesfälle";"Änderung zum Vortag Todesfälle";"Population";"Fälle/100.000 kumulativ";"Fälle der letzten 7 Tage";"7-Tages-Inzidenz"
"LK Aichach-Friedberg";5079;8;94;0;134655;3771,86;78;57,93
"LK Altötting";5904;4;208;0;111516;5294,31;86;77,12
"LK Amberg-Sulzbach";4743;0;157;1;103049;4602,66;65;63,08
"LK Ansbach";8113;1;172;0;184591;4395,12;111;60,13
"LK Aschaffenburg";7842;-4;205;1;174200;4501,72;142;81,52
"LK Augsburg";11115;26;214;1;253468;4385,17;219;86,4
"LK Bad Kissingen";3519;9;100;1;103235;3408,73;65;62,96
"LK Bad Tölz-Wolfratshausen";4918;6;78;2;127917;3844,68;79;61,76
"LK Bamberg";5367;17;137;0;147163;3646,98;134;91,06
"LK Bayreuth";4871;0;157;0;103664;4698,83;55;53,06
"LK Berchtesgadener Land";5736;10;99;0;105929;5414,95;109;102,9
"LK Cham";7025;3;176;1;127998;5488,37;104;81,25
"LK Coburg";4661;1;159;1;86747;5373,1;141;162,54
"LK Dachau";8094;6;138;1;154899;5225,34;95;61,33
"LK Deggendorf";6785;3;149;0;119478;5678,87;183;153,17
"LK Dillingen a.d.Donau";3549;4;111;0;96562;3675,36;109;112,88
"LK Dingolfing-Landau";5609;7;90;0;96683;5801,43;137;141,7
"LK Donau-Ries";5711;2;158;0;133783;4268,85;128;95,68
"LK Ebersberg";6218;5;176;1;143649;4328,61;109;75,88
"LK Eichstätt";4927;1;81;0;132881;3707,83;69;51,93
"LK Erding";6820;2;115;0;138182;4935,52;76;55
"LK Erlangen-Höchstadt";5233;1;127;0;137262;3812,42;65;47,35
"LK Forchheim";4637;1;113;0;116203;3990,43;47;40,45
"LK Freising";8100;17;127;1;180007;4499,83;90;50
"LK Freyung-Grafenau";4818;4;125;3;78362;6148,39;78;99,54
"LK Fürstenfeldbruck";9534;4;135;1;219311;4347,25;126;57,45
"LK Fürth";5154;6;205;0;117853;4373,24;87;73,82
"LK Garmisch-Partenkirchen";3495;0;87;0;88424;3952,55;51;57,68
"LK Günzburg";6455;15;106;0;127027;5081,6;184;144,85
"LK Haßberge";3947;1;86;0;84384;4677,43;54;63,99
"LK Hof";6250;11;152;1;94801;6592,76;64;67,51
"LK Kelheim";5809;15;106;1;123058;4720,54;170;138,15
"LK Kitzingen";3081;-3;83;0;91155;3379,96;47;51,56
"LK Kronach";4024;1;91;1;66743;6029,1;74;110,87
"LK Kulmbach";4034;0;116;0;71566;5636,75;44;61,48
"LK Landsberg a.Lech";4001;4;67;1;120302;3325,8;56;46,55
"LK Landshut";7813;-13;166;0;159895;4886,33;169;105,69
"LK Lichtenfels";3433;0;82;1;66776;5141,07;80;119,8
"LK Lindau";3272;2;62;0;81981;3991,17;38;46,35
"LK Main-Spessart";4577;2;209;0;126158;3627,99;62;49,14
"LK Miesbach";4388;5;80;1;100010;4387,56;134;133,99
"LK Miltenberg";5770;2;127;1;128743;4481,8;140;108,74
"LK Mühldorf a.Inn";6873;0;153;0;115872;5931,55;85;73,36
"LK München";15049;28;287;0;350473;4293,91;216;61,63
"LK Neu-Ulm";7207;11;115;0;175204;4113,49;212;121
"LK Neuburg-Schrobenhausen";4031;2;74;0;97303;4142,73;64;65,77
"LK Neumarkt i.d.OPf.";6273;3;120;0;134573;4661,41;114;84,71
"LK Neustadt a.d.Aisch-Bad Windsheim";4288;14;106;0;101014;4244,96;83;82,17
"LK Neustadt a.d.Waldnaab";5175;0;164;0;94450;5479,09;35;37,06
"LK Nürnberger Land";7154;3;175;0;170792;4188,72;147;86,07
"LK Oberallgäu";5909;10;82;0;156008;3787,63;129;82,69
"LK Ostallgäu";6951;4;124;0;141182;4923,43;134;94,91
"LK Passau";12771;3;361;0;192656;6628,91;118;61,25
"LK Pfaffenhofen a.d.Ilm";5528;0;157;0;128227;4311,1;69;53,81
"LK Regen";5459;2;160;0;77410;7052,06;70;90,43
"LK Regensburg";7936;7;179;0;194070;4089,25;163;83,99
"LK Rhön-Grabfeld";3440;2;86;0;79635;4319,71;81;101,71
"LK Rosenheim";13548;25;450;0;261330;5184,25;175;66,97
"LK Roth";5597;3;169;0;126749;4415,81;62;48,92
"LK Rottal-Inn";7303;5;172;0;121502;6010,6;161;132,51
"LK Schwandorf";8202;7;153;0;147872;5546,69;143;96,71
"LK Schweinfurt";4924;2;126;0;115445;4265,23;151;130,8
"LK Starnberg";5005;4;111;0;136667;3662,19;68;49,76
"LK Straubing-Bogen";5244;1;140;1;101120;5185,92;109;107,79
"LK Tirschenreuth";5293;1;265;0;72046;7346,7;30;41,64
"LK Traunstein";10767;6;213;1;177319;6072,11;146;82,34
"LK Unterallgäu";6901;16;143;2;145341;4748,14;263;180,95
"LK Weilheim-Schongau";4869;14;77;1;135478;3593,94;103;76,03
"LK Weißenburg-Gunzenhausen";3827;-1;115;1;94734;4039,73;103;108,73
"LK Wunsiedel i.Fichtelgebirge";4985;0;196;0;72655;6861,19;29;39,91
"LK Würzburg";4283;6;71;0;162302;2638,91;57;35,12
"SK Amberg";1713;0;22;0;42207;4058,57;19;45,02
"SK Ansbach";1775;0;44;0;41798;4246,61;29;69,38
"SK Aschaffenburg";3313;11;108;0;71002;4666,07;56;78,87
"SK Augsburg";17339;38;392;5;296582;5846,28;331;111,6
"SK Bamberg";2994;6;104;0;77373;3869,57;53;68,5
"SK Bayreuth";3437;0;108;0;74783;4595,96;37;49,48
"SK Coburg";2289;3;88;0;41072;5573,14;91;221,56
"SK Erlangen";3863;6;92;0;112528;3432,92;59;52,43
"SK Fürth";7403;1;213;0;128497;5761,22;164;127,63
"SK Hof";3901;4;114;0;45825;8512,82;48;104,75
"SK Ingolstadt";5873;7;105;1;137392;4274,63;129;93,89
"SK Kaufbeuren";2291;0;53;0;44398;5160,14;43;96,85
"SK Kempten";2857;6;43;1;69151;4131,54;66;95,44
"SK Landshut";3961;-2;107;0;73411;5395,65;106;144,39
"SK Memmingen";2096;28;24;0;44100;4752,83;82;185,94
"SK München";71111;122;1220;3;1484226;4791,12;799;53,83
"SK Nürnberg";33226;19;926;3;518370;6409,71;550;106,1
"SK Passau";3359;2;112;0;52803;6361,38;32;60,6
"SK Regensburg";6774;5;74;0;153094;4424,73;121;79,04
"SK Rosenheim";3852;4;60;0;63551;6061,27;53;83,4
"SK Schwabach";2100;-1;104;0;40981;5124,33;22;53,68
"SK Schweinfurt";2937;3;79;0;53426;5497,32;121;226,48
"SK Straubing";2321;1;84;0;47791;4856,56;59;123,45
"SK Weiden i.d.OPf.";2684;0;73;0;42743;6279,39;12;28,07
"SK Würzburg";4341;12;117;0;127934;3393,16;97;75,82
