"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";12873;11917;1;550;25341
"'10-19";22707;22370;4;682;45763
"20-29";38987;36295;4;1291;76577
"30-39";33081;31239;8;1185;65513
"40-49";30848;33619;4;1098;65569
"50-59";37116;37831;6;864;75817
"60-69";19498;18132;3;391;38024
"70-79";13049;14026;6;264;27345
"80-89";10189;18398;18;309;28914
"90-99";1951;6727;5;102;8785
"100+";33;140;0;4;177
"Unbekannt";34;38;0;26;98
"Gesamt";220366;230732;59;6766;457923
