"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";11360;10571;1;521;22453
"'10-19";20906;20571;4;654;42135
"20-29";35958;33636;4;1240;70838
"30-39";30335;28850;8;1156;60349
"40-49";28320;31176;4;1061;60561
"50-59";34134;35283;6;825;70248
"60-69";18020;16816;3;387;35226
"70-79";12298;13280;6;261;25845
"80-89";9765;17808;18;315;27906
"90-99";1889;6578;5;105;8577
"100+";47;152;0;6;205
"Unbekannt";118;123;0;51;292
"Gesamt";203150;214844;59;6582;424635
