"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";15508;14330;1;644;30483
"'10-19";26036;25438;5;769;52248
"20-29";43862;40679;4;1385;85930
"30-39";37677;35339;8;1271;74295
"40-49";35032;37708;5;1176;73921
"50-59";41773;42110;7;932;84822
"60-69";21828;20311;3;411;42553
"70-79";14240;15198;6;278;29722
"80-89";10712;19225;18;316;30271
"90-99";2011;6897;5;104;9017
"100+";34;145;0;5;184
"Unbekannt";38;31;0;29;98
"Gesamt";248751;257411;62;7320;513544
