"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;63;2021-03-29
019;0-9;14;2021-03-29
101;0-9;2825;2021-03-29
147;0-9;405;2021-03-29
151;0-9;262;2021-03-29
153;0-9;276;2021-03-29
155;0-9;74;2021-03-29
157;0-9;215;2021-03-29
159;0-9;415;2021-03-29
161;0-9;114;2021-03-29
163;0-9;186;2021-03-29
165;0-9;194;2021-03-29
167;0-9;305;2021-03-29
169;0-9;391;2021-03-29
173;0-9;190;2021-03-29
175;0-9;228;2021-03-29
183;0-9;244;2021-03-29
185;0-9;245;2021-03-29
187;0-9;129;2021-03-29
190;0-9;152;2021-03-29
201;0-9;57;2021-03-29
210;0-9;158;2021-03-29
217;0-9;229;2021-03-29
219;0-9;167;2021-03-29
223;0-9;57;2021-03-29
230;0-9;140;2021-03-29
240;0-9;208;2021-03-29
250;0-9;89;2021-03-29
253;0-9;215;2021-03-29
259;0-9;190;2021-03-29
260;0-9;36;2021-03-29
265;0-9;272;2021-03-29
269;0-9;83;2021-03-29
270;0-9;96;2021-03-29
306;0-9;30;2021-03-29
316;0-9;161;2021-03-29
320;0-9;55;2021-03-29
326;0-9;76;2021-03-29
329;0-9;78;2021-03-29
330;0-9;223;2021-03-29
336;0-9;37;2021-03-29
340;0-9;47;2021-03-29
350;0-9;97;2021-03-29
360;0-9;36;2021-03-29
370;0-9;158;2021-03-29
376;0-9;89;2021-03-29
390;0-9;50;2021-03-29
400;0-9;27;2021-03-29
410;0-9;57;2021-03-29
420;0-9;36;2021-03-29
430;0-9;65;2021-03-29
440;0-9;61;2021-03-29
450;0-9;63;2021-03-29
461;0-9;607;2021-03-29
479;0-9;55;2021-03-29
480;0-9;37;2021-03-29
482;0-9;5;2021-03-29
492;0-9;3;2021-03-29
510;0-9;72;2021-03-29
530;0-9;43;2021-03-29
540;0-9;122;2021-03-29
550;0-9;38;2021-03-29
561;0-9;250;2021-03-29
563;0-9;1;2021-03-29
573;0-9;73;2021-03-29
575;0-9;67;2021-03-29
580;0-9;105;2021-03-29
607;0-9;107;2021-03-29
615;0-9;188;2021-03-29
621;0-9;383;2021-03-29
630;0-9;333;2021-03-29
657;0-9;151;2021-03-29
661;0-9;102;2021-03-29
665;0-9;24;2021-03-29
671;0-9;40;2021-03-29
706;0-9;43;2021-03-29
707;0-9;59;2021-03-29
710;0-9;92;2021-03-29
727;0-9;45;2021-03-29
730;0-9;232;2021-03-29
740;0-9;223;2021-03-29
741;0-9;2;2021-03-29
746;0-9;169;2021-03-29
751;0-9;1170;2021-03-29
756;0-9;73;2021-03-29
760;0-9;43;2021-03-29
766;0-9;64;2021-03-29
773;0-9;31;2021-03-29
779;0-9;49;2021-03-29
787;0-9;46;2021-03-29
791;0-9;123;2021-03-29
810;0-9;61;2021-03-29
813;0-9;71;2021-03-29
820;0-9;24;2021-03-29
840;0-9;54;2021-03-29
846;0-9;38;2021-03-29
849;0-9;67;2021-03-29
851;0-9;438;2021-03-29
860;0-9;84;2021-03-29
;10-19;66;2021-03-29
011;10-19;3;2021-03-29
019;10-19;17;2021-03-29
101;10-19;4766;2021-03-29
147;10-19;638;2021-03-29
151;10-19;503;2021-03-29
153;10-19;466;2021-03-29
155;10-19;110;2021-03-29
157;10-19;726;2021-03-29
159;10-19;693;2021-03-29
161;10-19;230;2021-03-29
163;10-19;412;2021-03-29
