"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;56;2021-03-09
019;0-9;14;2021-03-09
101;0-9;2597;2021-03-09
147;0-9;381;2021-03-09
151;0-9;221;2021-03-09
153;0-9;240;2021-03-09
155;0-9;72;2021-03-09
157;0-9;210;2021-03-09
159;0-9;348;2021-03-09
161;0-9;108;2021-03-09
163;0-9;174;2021-03-09
165;0-9;183;2021-03-09
167;0-9;289;2021-03-09
169;0-9;326;2021-03-09
173;0-9;179;2021-03-09
175;0-9;216;2021-03-09
183;0-9;220;2021-03-09
185;0-9;238;2021-03-09
187;0-9;115;2021-03-09
190;0-9;127;2021-03-09
201;0-9;50;2021-03-09
210;0-9;135;2021-03-09
217;0-9;213;2021-03-09
219;0-9;147;2021-03-09
223;0-9;42;2021-03-09
230;0-9;138;2021-03-09
240;0-9;198;2021-03-09
250;0-9;83;2021-03-09
253;0-9;199;2021-03-09
259;0-9;182;2021-03-09
260;0-9;29;2021-03-09
265;0-9;258;2021-03-09
269;0-9;81;2021-03-09
270;0-9;89;2021-03-09
306;0-9;28;2021-03-09
316;0-9;136;2021-03-09
320;0-9;50;2021-03-09
326;0-9;72;2021-03-09
329;0-9;68;2021-03-09
330;0-9;208;2021-03-09
336;0-9;36;2021-03-09
340;0-9;47;2021-03-09
350;0-9;82;2021-03-09
360;0-9;33;2021-03-09
370;0-9;146;2021-03-09
376;0-9;82;2021-03-09
390;0-9;47;2021-03-09
400;0-9;25;2021-03-09
410;0-9;54;2021-03-09
420;0-9;35;2021-03-09
430;0-9;46;2021-03-09
440;0-9;46;2021-03-09
450;0-9;51;2021-03-09
461;0-9;539;2021-03-09
479;0-9;49;2021-03-09
480;0-9;35;2021-03-09
482;0-9;5;2021-03-09
492;0-9;3;2021-03-09
510;0-9;52;2021-03-09
530;0-9;28;2021-03-09
540;0-9;118;2021-03-09
550;0-9;36;2021-03-09
561;0-9;179;2021-03-09
563;0-9;1;2021-03-09
573;0-9;69;2021-03-09
575;0-9;64;2021-03-09
580;0-9;83;2021-03-09
607;0-9;89;2021-03-09
615;0-9;129;2021-03-09
621;0-9;334;2021-03-09
630;0-9;263;2021-03-09
657;0-9;128;2021-03-09
661;0-9;99;2021-03-09
665;0-9;23;2021-03-09
671;0-9;40;2021-03-09
706;0-9;41;2021-03-09
707;0-9;57;2021-03-09
710;0-9;87;2021-03-09
727;0-9;44;2021-03-09
730;0-9;179;2021-03-09
740;0-9;220;2021-03-09
741;0-9;2;2021-03-09
746;0-9;132;2021-03-09
751;0-9;1132;2021-03-09
756;0-9;64;2021-03-09
760;0-9;42;2021-03-09
766;0-9;59;2021-03-09
773;0-9;22;2021-03-09
779;0-9;48;2021-03-09
787;0-9;46;2021-03-09
791;0-9;115;2021-03-09
810;0-9;60;2021-03-09
813;0-9;70;2021-03-09
820;0-9;22;2021-03-09
840;0-9;52;2021-03-09
846;0-9;36;2021-03-09
849;0-9;63;2021-03-09
851;0-9;417;2021-03-09
860;0-9;75;2021-03-09
;10-19;55;2021-03-09
011;10-19;3;2021-03-09
019;10-19;17;2021-03-09
101;10-19;4500;2021-03-09
147;10-19;609;2021-03-09
151;10-19;451;2021-03-09
153;10-19;440;2021-03-09
155;10-19;104;2021-03-09
157;10-19;711;2021-03-09
159;10-19;639;2021-03-09
161;10-19;222;2021-03-09
163;10-19;394;2021-03-09
165;10-19;358;2021-03-09
167;10-19;633;2021-03-09
169;10-19;640;2021-03-09
173;10-19;416;2021-03-09
175;10-19;432;2021-03-09
183;10-19;426;2021-03-09
185;10-19;430;2021-03-09
187;10-19;221;2021-03-09
190;10-19;317;2021-03-09
201;10-19;149;2021-03-09
210;10-19;269;2021-03-09
217;10-19;443;2021-03-09
219;10-19;317;2021-03-09
223;10-19;153;2021-03-09
230;10-19;495;2021-03-09
240;10-19;337;2021-03-09
250;10-19;205;2021-03-09
253;10-19;453;2021-03-09
259;10-19;480;2021-03-09
260;10-19;95;2021-03-09
265;10-19;531;2021-03-09
269;10-19;284;2021-03-09
270;10-19;231;2021-03-09
306;10-19;138;2021-03-09
316;10-19;359;2021-03-09
320;10-19;166;2021-03-09
326;10-19;276;2021-03-09
329;10-19;192;2021-03-09
330;10-19;683;2021-03-09
336;10-19;111;2021-03-09
340;10-19;94;2021-03-09
350;10-19;172;2021-03-09
360;10-19;142;2021-03-09
370;10-19;433;2021-03-09
376;10-19;192;2021-03-09
390;10-19;216;2021-03-09
400;10-19;83;2021-03-09
410;10-19;144;2021-03-09
420;10-19;101;2021-03-09
430;10-19;138;2021-03-09
440;10-19;118;2021-03-09
450;10-19;127;2021-03-09
461;10-19;1234;2021-03-09
479;10-19;203;2021-03-09
480;10-19;107;2021-03-09
482;10-19;23;2021-03-09
492;10-19;5;2021-03-09
510;10-19;169;2021-03-09
530;10-19;84;2021-03-09
540;10-19;367;2021-03-09
550;10-19;164;2021-03-09
561;10-19;394;2021-03-09
563;10-19;7;2021-03-09
573;10-19;172;2021-03-09
575;10-19;133;2021-03-09
580;10-19;176;2021-03-09
607;10-19;197;2021-03-09
615;10-19;358;2021-03-09
621;10-19;446;2021-03-09
630;10-19;484;2021-03-09
657;10-19;269;2021-03-09
661;10-19;293;2021-03-09
665;10-19;52;2021-03-09
671;10-19;135;2021-03-09
706;10-19;98;2021-03-09
707;10-19;87;2021-03-09
710;10-19;210;2021-03-09
727;10-19;123;2021-03-09
730;10-19;416;2021-03-09
740;10-19;492;2021-03-09
741;10-19;7;2021-03-09
746;10-19;327;2021-03-09
751;10-19;2338;2021-03-09
756;10-19;174;2021-03-09
760;10-19;141;2021-03-09
766;10-19;196;2021-03-09
773;10-19;55;2021-03-09
779;10-19;131;2021-03-09
787;10-19;137;2021-03-09
791;10-19;309;2021-03-09
810;10-19;139;2021-03-09
813;10-19;205;2021-03-09
820;10-19;94;2021-03-09
825;10-19;1;2021-03-09
840;10-19;117;2021-03-09
846;10-19;126;2021-03-09
849;10-19;147;2021-03-09
851;10-19;1002;2021-03-09
860;10-19;199;2021-03-09
;20-29;356;2021-03-09
011;20-29;87;2021-03-09
019;20-29;10;2021-03-09
101;20-29;11844;2021-03-09
147;20-29;1523;2021-03-09
151;20-29;395;2021-03-09
153;20-29;429;2021-03-09
155;20-29;55;2021-03-09
157;20-29;419;2021-03-09
159;20-29;638;2021-03-09
161;20-29;234;2021-03-09
163;20-29;265;2021-03-09
165;20-29;303;2021-03-09
167;20-29;533;2021-03-09
169;20-29;583;2021-03-09
173;20-29;396;2021-03-09
175;20-29;429;2021-03-09
183;20-29;344;2021-03-09
185;20-29;289;2021-03-09
187;20-29;169;2021-03-09
190;20-29;192;2021-03-09
201;20-29;80;2021-03-09
210;20-29;210;2021-03-09
217;20-29;341;2021-03-09
219;20-29;292;2021-03-09
223;20-29;69;2021-03-09
230;20-29;253;2021-03-09
240;20-29;189;2021-03-09
250;20-29;193;2021-03-09
253;20-29;355;2021-03-09
259;20-29;401;2021-03-09
260;20-29;107;2021-03-09
265;20-29;610;2021-03-09
269;20-29;117;2021-03-09
270;20-29;126;2021-03-09
306;20-29;76;2021-03-09
316;20-29;290;2021-03-09
320;20-29;139;2021-03-09
326;20-29;146;2021-03-09
329;20-29;212;2021-03-09
330;20-29;497;2021-03-09
336;20-29;71;2021-03-09
340;20-29;90;2021-03-09
350;20-29;92;2021-03-09
360;20-29;84;2021-03-09
370;20-29;391;2021-03-09
376;20-29;179;2021-03-09
390;20-29;117;2021-03-09
400;20-29;49;2021-03-09
410;20-29;72;2021-03-09
420;20-29;67;2021-03-09
430;20-29;114;2021-03-09
440;20-29;46;2021-03-09
450;20-29;86;2021-03-09
461;20-29;1834;2021-03-09
479;20-29;136;2021-03-09
480;20-29;68;2021-03-09
482;20-29;10;2021-03-09
492;20-29;4;2021-03-09
510;20-29;153;2021-03-09
530;20-29;68;2021-03-09
540;20-29;235;2021-03-09
550;20-29;78;2021-03-09
561;20-29;439;2021-03-09
563;20-29;2;2021-03-09
573;20-29;154;2021-03-09
575;20-29;120;2021-03-09
580;20-29;140;2021-03-09
607;20-29;175;2021-03-09
615;20-29;464;2021-03-09
621;20-29;425;2021-03-09
630;20-29;509;2021-03-09
657;20-29;299;2021-03-09
661;20-29;250;2021-03-09
665;20-29;42;2021-03-09
671;20-29;71;2021-03-09
706;20-29;77;2021-03-09
707;20-29;77;2021-03-09
710;20-29;112;2021-03-09
727;20-29;34;2021-03-09
730;20-29;372;2021-03-09
740;20-29;298;2021-03-09
741;20-29;4;2021-03-09
746;20-29;168;2021-03-09
751;20-29;4480;2021-03-09
756;20-29;121;2021-03-09
760;20-29;155;2021-03-09
766;20-29;135;2021-03-09
773;20-29;71;2021-03-09
779;20-29;116;2021-03-09
787;20-29;131;2021-03-09
791;20-29;212;2021-03-09
810;20-29;97;2021-03-09
813;20-29;152;2021-03-09
