"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;70;0;0;2;11/03/2021
Hovedstaden;0-9;7451;1;1;103;11/03/2021
Midtjylland;0-9;2669;0;0;20;11/03/2021
Nordjylland;0-9;868;0;0;6;11/03/2021
Sjælland;0-9;1775;0;0;17;11/03/2021
Syddanmark;0-9;2231;0;1;20;11/03/2021
;10-19;79;0;0;0;11/03/2021
Hovedstaden;10-19;14849;0;1;84;11/03/2021
Midtjylland;10-19;6253;0;0;24;11/03/2021
Nordjylland;10-19;2250;0;0;8;11/03/2021
Sjælland;10-19;4959;0;1;35;11/03/2021
Syddanmark;10-19;5109;0;0;16;11/03/2021
;20-29;491;0;0;10;11/03/2021
Hovedstaden;20-29;21112;0;3;267;11/03/2021
Midtjylland;20-29;7618;0;0;72;11/03/2021
Nordjylland;20-29;2754;0;0;34;11/03/2021
Sjælland;20-29;3910;0;0;72;11/03/2021
Syddanmark;20-29;5073;0;3;66;11/03/2021
;30-39;529;0;1;20;11/03/2021
Hovedstaden;30-39;15351;4;7;439;11/03/2021
Midtjylland;30-39;4874;0;0;106;11/03/2021
Nordjylland;30-39;1790;0;1;37;11/03/2021
Sjælland;30-39;3716;2;2;105;11/03/2021
Syddanmark;30-39;3778;0;1;85;11/03/2021
;40-49;466;0;1;26;11/03/2021
Hovedstaden;40-49;14811;3;18;571;11/03/2021
Midtjylland;40-49;5368;1;3;173;11/03/2021
Nordjylland;40-49;1964;0;1;62;11/03/2021
Sjælland;40-49;4966;1;5;208;11/03/2021
Syddanmark;40-49;4433;1;9;138;11/03/2021
;50-59;307;1;0;36;11/03/2021
Hovedstaden;50-59;13789;28;11;876;11/03/2021
Midtjylland;50-59;5491;9;3;326;11/03/2021
Nordjylland;50-59;2254;3;2;101;11/03/2021
Sjælland;50-59;5113;8;5;312;11/03/2021
Syddanmark;50-59;4485;4;13;224;11/03/2021
;60-69;113;0;1;22;11/03/2021
Hovedstaden;60-69;7285;107;12;931;11/03/2021
Midtjylland;60-69;3092;28;3;310;11/03/2021
Nordjylland;60-69;1462;10;4;133;11/03/2021
Sjælland;60-69;2851;34;14;369;11/03/2021
Syddanmark;60-69;2544;16;9;260;11/03/2021
;70-79;28;0;0;10;11/03/2021
Hovedstaden;70-79;4609;318;22;1401;11/03/2021
Midtjylland;70-79;1800;85;4;430;11/03/2021
Nordjylland;70-79;927;60;4;215;11/03/2021
Sjælland;70-79;1853;103;14;526;11/03/2021
Syddanmark;70-79;1566;54;10;331;11/03/2021
;80-89;10;1;0;5;11/03/2021
Hovedstaden;80-89;2747;512;7;1251;11/03/2021
Midtjylland;80-89;880;149;1;305;11/03/2021
Nordjylland;80-89;435;61;2;173;11/03/2021
Sjælland;80-89;946;149;11;446;11/03/2021
Syddanmark;80-89;700;88;6;261;11/03/2021
;90+;5;0;0;0;11/03/2021
Hovedstaden;90+;984;301;2;383;11/03/2021
Midtjylland;90+;258;68;0;77;11/03/2021
Nordjylland;90+;125;43;0;38;11/03/2021
Sjælland;90+;270;87;3;131;11/03/2021
Syddanmark;90+;164;44;0;59;11/03/2021
