"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;70;0
Hovedstaden;0-9;7451;1
Midtjylland;0-9;2669;0
Nordjylland;0-9;868;0
Sjælland;0-9;1775;0
Syddanmark;0-9;2231;0
;10-19;79;0
Hovedstaden;10-19;14849;0
Midtjylland;10-19;6253;0
Nordjylland;10-19;2250;0
Sjælland;10-19;4959;0
Syddanmark;10-19;5109;0
;20-29;491;0
Hovedstaden;20-29;21112;0
Midtjylland;20-29;7618;0
Nordjylland;20-29;2754;0
Sjælland;20-29;3910;0
Syddanmark;20-29;5073;0
;30-39;529;0
Hovedstaden;30-39;15351;4
Midtjylland;30-39;4874;0
Nordjylland;30-39;1790;0
Sjælland;30-39;3716;2
Syddanmark;30-39;3778;0
;40-49;466;0
Hovedstaden;40-49;14811;3
Midtjylland;40-49;5368;1
Nordjylland;40-49;1964;0
Sjælland;40-49;4966;1
Syddanmark;40-49;4433;1
;50-59;307;1
Hovedstaden;50-59;13789;28
Midtjylland;50-59;5491;9
Nordjylland;50-59;2254;3
Sjælland;50-59;5113;8
Syddanmark;50-59;4485;4
;60-69;113;0
Hovedstaden;60-69;7285;107
Midtjylland;60-69;3092;28
Nordjylland;60-69;1462;10
Sjælland;60-69;2851;34
Syddanmark;60-69;2544;16
;70-79;28;0
Hovedstaden;70-79;4609;318
Midtjylland;70-79;1800;85
Nordjylland;70-79;927;60
Sjælland;70-79;1853;103
Syddanmark;70-79;1566;54
;80-89;10;1
Hovedstaden;80-89;2747;512
Midtjylland;80-89;880;149
Nordjylland;80-89;435;61
Sjælland;80-89;946;149
Syddanmark;80-89;700;88
;90+;5;0
Hovedstaden;90+;984;301
Midtjylland;90+;258;68
Nordjylland;90+;125;43
Sjælland;90+;270;87
Syddanmark;90+;164;44
