"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;102988;5602;1809;98,4;1503397;81775;259623;14122;0,70
Midtjylland;38303;2895;889;67,2;991301;74912;184639;13953;0,48
Nordjylland;14829;2518;266;45,2;478578;81256;90824;15421;0,29
Sjælland;30359;3635;651;77,9;612144;73289;116244;13917;0,56
Syddanmark;30083;2464;1055;86,4;904896;74120;195171;15986;0,54
