"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;62;2021-03-24
019;0-9;14;2021-03-24
101;0-9;2755;2021-03-24
147;0-9;392;2021-03-24
151;0-9;252;2021-03-24
153;0-9;272;2021-03-24
155;0-9;74;2021-03-24
157;0-9;212;2021-03-24
159;0-9;383;2021-03-24
161;0-9;112;2021-03-24
163;0-9;185;2021-03-24
165;0-9;191;2021-03-24
167;0-9;299;2021-03-24
169;0-9;373;2021-03-24
173;0-9;187;2021-03-24
175;0-9;223;2021-03-24
183;0-9;235;2021-03-24
185;0-9;243;2021-03-24
187;0-9;126;2021-03-24
190;0-9;140;2021-03-24
201;0-9;56;2021-03-24
210;0-9;148;2021-03-24
217;0-9;226;2021-03-24
219;0-9;166;2021-03-24
223;0-9;52;2021-03-24
230;0-9;139;2021-03-24
240;0-9;206;2021-03-24
250;0-9;85;2021-03-24
253;0-9;210;2021-03-24
259;0-9;188;2021-03-24
260;0-9;29;2021-03-24
265;0-9;271;2021-03-24
269;0-9;82;2021-03-24
270;0-9;93;2021-03-24
306;0-9;29;2021-03-24
316;0-9;151;2021-03-24
320;0-9;55;2021-03-24
326;0-9;75;2021-03-24
329;0-9;77;2021-03-24
330;0-9;221;2021-03-24
336;0-9;37;2021-03-24
340;0-9;47;2021-03-24
350;0-9;97;2021-03-24
360;0-9;33;2021-03-24
370;0-9;156;2021-03-24
376;0-9;89;2021-03-24
390;0-9;50;2021-03-24
400;0-9;27;2021-03-24
410;0-9;57;2021-03-24
420;0-9;36;2021-03-24
430;0-9;63;2021-03-24
440;0-9;59;2021-03-24
450;0-9;62;2021-03-24
461;0-9;589;2021-03-24
479;0-9;50;2021-03-24
480;0-9;37;2021-03-24
482;0-9;5;2021-03-24
492;0-9;3;2021-03-24
510;0-9;68;2021-03-24
530;0-9;37;2021-03-24
540;0-9;121;2021-03-24
550;0-9;37;2021-03-24
561;0-9;238;2021-03-24
563;0-9;1;2021-03-24
573;0-9;72;2021-03-24
575;0-9;66;2021-03-24
580;0-9;103;2021-03-24
607;0-9;104;2021-03-24
615;0-9;174;2021-03-24
621;0-9;377;2021-03-24
630;0-9;320;2021-03-24
657;0-9;150;2021-03-24
661;0-9;102;2021-03-24
665;0-9;24;2021-03-24
671;0-9;40;2021-03-24
706;0-9;42;2021-03-24
707;0-9;59;2021-03-24
710;0-9;88;2021-03-24
727;0-9;45;2021-03-24
730;0-9;221;2021-03-24
740;0-9;221;2021-03-24
741;0-9;2;2021-03-24
746;0-9;162;2021-03-24
751;0-9;1155;2021-03-24
756;0-9;73;2021-03-24
760;0-9;42;2021-03-24
766;0-9;64;2021-03-24
773;0-9;31;2021-03-24
779;0-9;49;2021-03-24
787;0-9;46;2021-03-24
791;0-9;120;2021-03-24
810;0-9;60;2021-03-24
813;0-9;70;2021-03-24
820;0-9;23;2021-03-24
840;0-9;54;2021-03-24
846;0-9;37;2021-03-24
849;0-9;66;2021-03-24
851;0-9;435;2021-03-24
860;0-9;80;2021-03-24
;10-19;68;2021-03-24
011;10-19;3;2021-03-24
019;10-19;17;2021-03-24
101;10-19;4718;2021-03-24
147;10-19;628;2021-03-24
151;10-19;494;2021-03-24
153;10-19;465;2021-03-24
155;10-19;107;2021-03-24
157;10-19;723;2021-03-24
159;10-19;681;2021-03-24
161;10-19;230;2021-03-24
163;10-19;411;2021-03-24
165;10-19;383;2021-03-24
167;10-19;645;2021-03-24
169;10-19;681;2021-03-24
173;10-19;428;2021-03-24
175;10-19;461;2021-03-24
183;10-19;446;2021-03-24
185;10-19;447;2021-03-24
187;10-19;236;2021-03-24
190;10-19;335;2021-03-24
201;10-19;152;2021-03-24
210;10-19;296;2021-03-24
217;10-19;478;2021-03-24
219;10-19;336;2021-03-24
223;10-19;165;2021-03-24
230;10-19;513;2021-03-24
240;10-19;343;2021-03-24
250;10-19;214;2021-03-24
253;10-19;482;2021-03-24
259;10-19;495;2021-03-24
260;10-19;105;2021-03-24
265;10-19;551;2021-03-24
269;10-19;287;2021-03-24
270;10-19;242;2021-03-24
306;10-19;151;2021-03-24
316;10-19;389;2021-03-24
320;10-19;175;2021-03-24
326;10-19;290;2021-03-24
329;10-19;208;2021-03-24
330;10-19;703;2021-03-24
336;10-19;116;2021-03-24
340;10-19;104;2021-03-24
350;10-19;183;2021-03-24
360;10-19;149;2021-03-24
370;10-19;457;2021-03-24
376;10-19;198;2021-03-24
390;10-19;221;2021-03-24
400;10-19;88;2021-03-24
410;10-19;151;2021-03-24
420;10-19;104;2021-03-24
430;10-19;160;2021-03-24
440;10-19;130;2021-03-24
450;10-19;134;2021-03-24
461;10-19;1341;2021-03-24
479;10-19;219;2021-03-24
480;10-19;122;2021-03-24
482;10-19;23;2021-03-24
492;10-19;5;2021-03-24
510;10-19;200;2021-03-24
530;10-19;100;2021-03-24
540;10-19;377;2021-03-24
550;10-19;181;2021-03-24
561;10-19;508;2021-03-24
563;10-19;7;2021-03-24
573;10-19;175;2021-03-24
575;10-19;143;2021-03-24
580;10-19;196;2021-03-24
607;10-19;208;2021-03-24
615;10-19;380;2021-03-24
621;10-19;501;2021-03-24
630;10-19;577;2021-03-24
657;10-19;290;2021-03-24
661;10-19;311;2021-03-24
665;10-19;55;2021-03-24
671;10-19;142;2021-03-24
706;10-19;104;2021-03-24
707;10-19;91;2021-03-24
710;10-19;222;2021-03-24
727;10-19;129;2021-03-24
730;10-19;491;2021-03-24
740;10-19;511;2021-03-24
741;10-19;7;2021-03-24
746;10-19;336;2021-03-24
751;10-19;2421;2021-03-24
756;10-19;182;2021-03-24
760;10-19;149;2021-03-24
766;10-19;216;2021-03-24
773;10-19;60;2021-03-24
779;10-19;140;2021-03-24
787;10-19;152;2021-03-24
791;10-19;339;2021-03-24
810;10-19;141;2021-03-24
813;10-19;213;2021-03-24
820;10-19;107;2021-03-24
825;10-19;1;2021-03-24
840;10-19;130;2021-03-24
846;10-19;140;2021-03-24
849;10-19;149;2021-03-24
851;10-19;1053;2021-03-24
860;10-19;203;2021-03-24
;20-29;419;2021-03-24
011;20-29;100;2021-03-24
019;20-29;10;2021-03-24
101;20-29;12248;2021-03-24
147;20-29;1565;2021-03-24
151;20-29;423;2021-03-24
153;20-29;459;2021-03-24
155;20-29;60;2021-03-24
157;20-29;430;2021-03-24
159;20-29;682;2021-03-24
