"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;70;0
Hovedstaden;0-9;7479;1
Midtjylland;0-9;2677;0
Nordjylland;0-9;869;0
Sjælland;0-9;1782;0
Syddanmark;0-9;2246;0
;10-19;81;0
Hovedstaden;10-19;14882;0
Midtjylland;10-19;6276;0
Nordjylland;10-19;2253;0
Sjælland;10-19;4977;0
Syddanmark;10-19;5129;0
;20-29;495;0
Hovedstaden;20-29;21144;0
Midtjylland;20-29;7642;0
Nordjylland;20-29;2762;0
Sjælland;20-29;3923;0
Syddanmark;20-29;5112;0
;30-39;533;0
Hovedstaden;30-39;15382;4
Midtjylland;30-39;4886;0
Nordjylland;30-39;1793;0
Sjælland;30-39;3732;2
Syddanmark;30-39;3806;0
;40-49;474;0
Hovedstaden;40-49;14846;4
Midtjylland;40-49;5381;1
Nordjylland;40-49;1971;0
Sjælland;40-49;4977;1
Syddanmark;40-49;4452;1
;50-59;309;1
Hovedstaden;50-59;13817;28
Midtjylland;50-59;5507;9
Nordjylland;50-59;2260;3
Sjælland;50-59;5124;8
Syddanmark;50-59;4502;4
;60-69;113;0
Hovedstaden;60-69;7310;107
Midtjylland;60-69;3106;28
Nordjylland;60-69;1465;10
Sjælland;60-69;2862;34
Syddanmark;60-69;2552;16
;70-79;28;0
Hovedstaden;70-79;4621;319
Midtjylland;70-79;1803;85
Nordjylland;70-79;931;60
Sjælland;70-79;1855;103
Syddanmark;70-79;1569;54
;80-89;10;1
Hovedstaden;80-89;2754;512
Midtjylland;80-89;884;149
Nordjylland;80-89;436;61
Sjælland;80-89;949;150
Syddanmark;80-89;701;88
;90+;5;0
Hovedstaden;90+;984;301
Midtjylland;90+;258;68
Nordjylland;90+;125;43
Sjælland;90+;269;87
Syddanmark;90+;164;44
