"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;3;0;0;0;12/03/2021
Hovedstaden;0-9;244;0;0;1;12/03/2021
Midtjylland;0-9;68;0;0;0;12/03/2021
Nordjylland;0-9;6;0;0;0;12/03/2021
Sjælland;0-9;63;0;0;0;12/03/2021
Syddanmark;0-9;138;0;0;0;12/03/2021
;10-19;3;0;0;0;12/03/2021
Hovedstaden;10-19;261;0;1;1;12/03/2021
Midtjylland;10-19;131;0;0;1;12/03/2021
Nordjylland;10-19;41;0;0;0;12/03/2021
Sjælland;10-19;94;0;0;1;12/03/2021
Syddanmark;10-19;185;0;0;0;12/03/2021
;20-29;20;0;0;0;12/03/2021
Hovedstaden;20-29;285;0;1;8;12/03/2021
Midtjylland;20-29;188;0;1;1;12/03/2021
Nordjylland;20-29;61;0;0;0;12/03/2021
Sjælland;20-29;72;0;0;0;12/03/2021
Syddanmark;20-29;203;0;0;2;12/03/2021
;30-39;20;0;0;2;12/03/2021
Hovedstaden;30-39;266;0;4;6;12/03/2021
Midtjylland;30-39;131;0;0;3;12/03/2021
Nordjylland;30-39;37;0;0;0;12/03/2021
Sjælland;30-39;93;0;1;1;12/03/2021
Syddanmark;30-39;141;0;0;1;12/03/2021
;40-49;25;0;1;1;12/03/2021
Hovedstaden;40-49;277;0;1;5;12/03/2021
Midtjylland;40-49;120;0;1;1;12/03/2021
Nordjylland;40-49;43;0;0;0;12/03/2021
Sjælland;40-49;118;0;0;1;12/03/2021
Syddanmark;40-49;137;0;3;3;12/03/2021
;50-59;12;0;0;0;12/03/2021
Hovedstaden;50-59;241;0;3;7;12/03/2021
Midtjylland;50-59;131;0;1;3;12/03/2021
Nordjylland;50-59;43;0;0;1;12/03/2021
Sjælland;50-59;88;0;1;1;12/03/2021
Syddanmark;50-59;137;0;4;4;12/03/2021
;60-69;3;0;0;0;12/03/2021
Hovedstaden;60-69;126;0;5;8;12/03/2021
Midtjylland;60-69;100;0;0;0;12/03/2021
Nordjylland;60-69;30;0;1;1;12/03/2021
Sjælland;60-69;66;0;2;4;12/03/2021
Syddanmark;60-69;82;0;2;2;12/03/2021
;70-79;2;0;0;0;12/03/2021
Hovedstaden;70-79;68;0;5;11;12/03/2021
Midtjylland;70-79;41;0;0;0;12/03/2021
Nordjylland;70-79;16;0;0;0;12/03/2021
Sjælland;70-79;39;0;2;4;12/03/2021
Syddanmark;70-79;25;0;3;5;12/03/2021
Hovedstaden;80-89;33;0;4;7;12/03/2021
Midtjylland;80-89;14;0;0;0;12/03/2021
Nordjylland;80-89;3;0;0;0;12/03/2021
Sjælland;80-89;16;1;4;5;12/03/2021
Syddanmark;80-89;4;0;1;1;12/03/2021
Hovedstaden;90+;2;0;1;1;12/03/2021
Sjælland;90+;2;0;1;1;12/03/2021
Syddanmark;90+;1;0;0;0;12/03/2021
