"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;70;0;0;2;12/03/2021
Hovedstaden;0-9;7479;1;1;103;12/03/2021
Midtjylland;0-9;2677;0;0;20;12/03/2021
Nordjylland;0-9;869;0;0;6;12/03/2021
Sjælland;0-9;1782;0;0;17;12/03/2021
Syddanmark;0-9;2246;0;1;20;12/03/2021
;10-19;81;0;0;0;12/03/2021
Hovedstaden;10-19;14882;0;1;84;12/03/2021
Midtjylland;10-19;6276;0;0;24;12/03/2021
Nordjylland;10-19;2253;0;0;8;12/03/2021
Sjælland;10-19;4977;0;1;36;12/03/2021
Syddanmark;10-19;5129;0;0;16;12/03/2021
;20-29;495;0;0;10;12/03/2021
Hovedstaden;20-29;21144;0;3;268;12/03/2021
Midtjylland;20-29;7642;0;1;73;12/03/2021
Nordjylland;20-29;2762;0;0;34;12/03/2021
Sjælland;20-29;3923;0;0;72;12/03/2021
Syddanmark;20-29;5112;0;3;66;12/03/2021
;30-39;533;0;0;20;12/03/2021
Hovedstaden;30-39;15382;4;5;441;12/03/2021
Midtjylland;30-39;4886;0;0;107;12/03/2021
Nordjylland;30-39;1793;0;1;37;12/03/2021
Sjælland;30-39;3732;2;2;105;12/03/2021
Syddanmark;30-39;3806;0;0;85;12/03/2021
;40-49;474;0;1;26;12/03/2021
Hovedstaden;40-49;14846;4;16;572;12/03/2021
Midtjylland;40-49;5381;1;2;173;12/03/2021
Nordjylland;40-49;1971;0;1;62;12/03/2021
Sjælland;40-49;4977;1;5;209;12/03/2021
Syddanmark;40-49;4452;1;8;138;12/03/2021
;50-59;309;1;0;36;12/03/2021
Hovedstaden;50-59;13817;28;12;881;12/03/2021
Midtjylland;50-59;5507;9;3;326;12/03/2021
Nordjylland;50-59;2260;3;2;101;12/03/2021
Sjælland;50-59;5124;8;5;312;12/03/2021
Syddanmark;50-59;4502;4;15;227;12/03/2021
;60-69;113;0;1;22;12/03/2021
Hovedstaden;60-69;7310;107;14;932;12/03/2021
Midtjylland;60-69;3106;28;2;310;12/03/2021
Nordjylland;60-69;1465;10;4;134;12/03/2021
Sjælland;60-69;2862;34;15;370;12/03/2021
Syddanmark;60-69;2552;16;12;263;12/03/2021
;70-79;28;0;0;10;12/03/2021
Hovedstaden;70-79;4621;319;23;1404;12/03/2021
Midtjylland;70-79;1803;85;3;430;12/03/2021
Nordjylland;70-79;931;60;4;215;12/03/2021
Sjælland;70-79;1855;103;16;528;12/03/2021
Syddanmark;70-79;1569;54;11;332;12/03/2021
;80-89;10;1;0;5;12/03/2021
Hovedstaden;80-89;2754;512;8;1252;12/03/2021
Midtjylland;80-89;884;149;1;305;12/03/2021
Nordjylland;80-89;436;61;2;173;12/03/2021
Sjælland;80-89;949;150;8;447;12/03/2021
Syddanmark;80-89;701;88;7;262;12/03/2021
;90+;5;0;0;0;12/03/2021
Hovedstaden;90+;984;301;3;383;12/03/2021
Midtjylland;90+;258;68;0;77;12/03/2021
Nordjylland;90+;125;43;0;38;12/03/2021
Sjælland;90+;269;87;2;130;12/03/2021
Syddanmark;90+;164;44;0;59;12/03/2021
