"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;106901;5815;2399;130,5;1532845;83377;276587;15045;0,87
Midtjylland;39067;2952;652;49,3;1016674;76830;201215;15206;0,32
Nordjylland;15147;2572;245;41,6;485900;82500;98244;16681;0,25
Sjælland;31230;3739;535;64,1;627879;75173;122848;14708;0,44
Syddanmark;32207;2638;1096;89,8;930945;76254;213512;17489;0,51
