"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;77;0
Hovedstaden;0-9;7985;1
Midtjylland;0-9;2860;0
Nordjylland;0-9;908;0
Sjælland;0-9;1878;0
Syddanmark;0-9;2535;0
;10-19;84;0
Hovedstaden;10-19;15441;0
Midtjylland;10-19;6399;0
Nordjylland;10-19;2300;0
Sjælland;10-19;5113;0
Syddanmark;10-19;5558;0
;20-29;480;0
Hovedstaden;20-29;21843;0
Midtjylland;20-29;7748;0
Nordjylland;20-29;2837;0
Sjælland;20-29;4048;0
Syddanmark;20-29;5416;0
;30-39;522;0
Hovedstaden;30-39;15937;4
Midtjylland;30-39;4985;0
Nordjylland;30-39;1816;0
Sjælland;30-39;3856;2
Syddanmark;30-39;4080;0
;40-49;461;0
Hovedstaden;40-49;15393;4
Midtjylland;40-49;5464;1
Nordjylland;40-49;2006;0
Sjælland;40-49;5100;1
Syddanmark;40-49;4756;1
;50-59;304;1
Hovedstaden;50-59;14301;28
Midtjylland;50-59;5573;9
Nordjylland;50-59;2288;3
Sjælland;50-59;5242;8
Syddanmark;50-59;4722;4
;60-69;113;0
Hovedstaden;60-69;7520;109
Midtjylland;60-69;3098;28
Nordjylland;60-69;1489;10
Sjælland;60-69;2891;34
Syddanmark;60-69;2636;16
;70-79;25;0
Hovedstaden;70-79;4707;323
Midtjylland;70-79;1801;86
Nordjylland;70-79;943;60
Sjælland;70-79;1877;106
Syddanmark;70-79;1619;55
;80-89;10;1
Hovedstaden;80-89;2786;513
Midtjylland;80-89;879;149
Nordjylland;80-89;435;62
Sjælland;80-89;953;154
Syddanmark;80-89;720;90
;90+;5;0
Hovedstaden;90+;988;304
Midtjylland;90+;260;69
Nordjylland;90+;125;43
Sjælland;90+;272;88
Syddanmark;90+;165;44
