"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;77;0;0;2;26/03/2021
Hovedstaden;0-9;7985;1;0;104;26/03/2021
Midtjylland;0-9;2860;0;0;22;26/03/2021
Nordjylland;0-9;908;0;0;6;26/03/2021
Sjælland;0-9;1878;0;0;17;26/03/2021
Syddanmark;0-9;2535;0;2;21;26/03/2021
;10-19;84;0;0;0;26/03/2021
Hovedstaden;10-19;15441;0;2;86;26/03/2021
Midtjylland;10-19;6399;0;0;26;26/03/2021
Nordjylland;10-19;2300;0;0;8;26/03/2021
Sjælland;10-19;5113;0;0;38;26/03/2021
Syddanmark;10-19;5558;0;0;16;26/03/2021
;20-29;480;0;0;10;26/03/2021
Hovedstaden;20-29;21843;0;8;279;26/03/2021
Midtjylland;20-29;7748;0;0;76;26/03/2021
Nordjylland;20-29;2837;0;1;36;26/03/2021
Sjælland;20-29;4048;0;1;74;26/03/2021
Syddanmark;20-29;5416;0;6;74;26/03/2021
;30-39;522;0;1;21;26/03/2021
Hovedstaden;30-39;15937;4;4;455;26/03/2021
Midtjylland;30-39;4985;0;1;113;26/03/2021
Nordjylland;30-39;1816;0;1;38;26/03/2021
Sjælland;30-39;3856;2;2;110;26/03/2021
Syddanmark;30-39;4080;0;4;93;26/03/2021
;40-49;461;0;0;28;26/03/2021
Hovedstaden;40-49;15393;4;8;595;26/03/2021
Midtjylland;40-49;5464;1;1;182;26/03/2021
Nordjylland;40-49;2006;0;1;62;26/03/2021
Sjælland;40-49;5100;1;3;217;26/03/2021
Syddanmark;40-49;4756;1;3;150;26/03/2021
;50-59;304;1;1;41;26/03/2021
Hovedstaden;50-59;14301;28;19;918;26/03/2021
Midtjylland;50-59;5573;9;6;339;26/03/2021
Nordjylland;50-59;2288;3;3;105;26/03/2021
Sjælland;50-59;5242;8;6;322;26/03/2021
Syddanmark;50-59;4722;4;17;255;26/03/2021
;60-69;113;0;0;22;26/03/2021
Hovedstaden;60-69;7520;109;12;964;26/03/2021
Midtjylland;60-69;3098;28;4;316;26/03/2021
Nordjylland;60-69;1489;10;4;136;26/03/2021
Sjælland;60-69;2891;34;8;379;26/03/2021
Syddanmark;60-69;2636;16;9;274;26/03/2021
;70-79;25;0;0;10;26/03/2021
Hovedstaden;70-79;4707;323;27;1429;26/03/2021
Midtjylland;70-79;1801;86;5;440;26/03/2021
Nordjylland;70-79;943;60;3;216;26/03/2021
Sjælland;70-79;1877;106;10;548;26/03/2021
Syddanmark;70-79;1619;55;10;349;26/03/2021
;80-89;10;1;0;5;26/03/2021
Hovedstaden;80-89;2786;513;3;1266;26/03/2021
Midtjylland;80-89;879;149;0;308;26/03/2021
Nordjylland;80-89;435;62;1;175;26/03/2021
Sjælland;80-89;953;154;4;454;26/03/2021
Syddanmark;80-89;720;90;5;268;26/03/2021
;90+;5;0;0;0;26/03/2021
Hovedstaden;90+;988;304;0;385;26/03/2021
Midtjylland;90+;260;69;0;77;26/03/2021
Nordjylland;90+;125;43;0;38;26/03/2021
Sjælland;90+;272;88;1;131;26/03/2021
Syddanmark;90+;165;44;0;59;26/03/2021
