"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;4;0;0;0;26/03/2021
Hovedstaden;0-9;300;0;0;1;26/03/2021
Midtjylland;0-9;82;0;0;0;26/03/2021
Nordjylland;0-9;14;0;0;0;26/03/2021
Sjælland;0-9;50;0;0;0;26/03/2021
Syddanmark;0-9;137;0;0;0;26/03/2021
;10-19;4;0;0;0;26/03/2021
Hovedstaden;10-19;358;0;1;1;26/03/2021
Midtjylland;10-19;122;0;0;1;26/03/2021
Nordjylland;10-19;37;0;0;0;26/03/2021
Sjælland;10-19;80;0;0;0;26/03/2021
Syddanmark;10-19;250;0;0;0;26/03/2021
;20-29;8;0;0;0;26/03/2021
Hovedstaden;20-29;451;0;2;2;26/03/2021
Midtjylland;20-29;103;0;0;2;26/03/2021
Nordjylland;20-29;51;0;1;2;26/03/2021
Sjælland;20-29;95;0;1;1;26/03/2021
Syddanmark;20-29;193;0;3;4;26/03/2021
;30-39;22;0;1;1;26/03/2021
Hovedstaden;30-39;369;0;1;6;26/03/2021
Midtjylland;30-39;98;0;1;2;26/03/2021
Nordjylland;30-39;25;0;0;0;26/03/2021
Sjælland;30-39;83;0;1;2;26/03/2021
Syddanmark;30-39;138;0;0;0;26/03/2021
;40-49;15;0;0;0;26/03/2021
Hovedstaden;40-49;357;0;3;5;26/03/2021
Midtjylland;40-49;88;0;1;3;26/03/2021
Nordjylland;40-49;44;0;0;0;26/03/2021
Sjælland;40-49;84;0;0;1;26/03/2021
Syddanmark;40-49;163;0;1;3;26/03/2021
;50-59;10;0;0;2;26/03/2021
Hovedstaden;50-59;321;0;7;14;26/03/2021
Midtjylland;50-59;91;0;2;2;26/03/2021
Nordjylland;50-59;31;0;1;1;26/03/2021
Sjælland;50-59;83;0;2;2;26/03/2021
Syddanmark;50-59;117;0;6;8;26/03/2021
;60-69;1;0;0;0;26/03/2021
Hovedstaden;60-69;153;0;5;14;26/03/2021
Midtjylland;60-69;43;0;0;0;26/03/2021
Nordjylland;60-69;23;0;0;0;26/03/2021
Sjælland;60-69;33;0;2;2;26/03/2021
Syddanmark;60-69;56;0;1;2;26/03/2021
Hovedstaden;70-79;65;1;3;5;26/03/2021
Midtjylland;70-79;20;0;3;3;26/03/2021
Nordjylland;70-79;18;0;0;1;26/03/2021
Sjælland;70-79;17;0;6;7;26/03/2021
Syddanmark;70-79;28;0;4;4;26/03/2021
Hovedstaden;80-89;23;1;2;3;26/03/2021
Midtjylland;80-89;3;0;0;0;26/03/2021
Nordjylland;80-89;2;0;0;1;26/03/2021
Sjælland;80-89;7;1;3;4;26/03/2021
Syddanmark;80-89;13;0;2;2;26/03/2021
;90+;1;0;0;0;26/03/2021
Hovedstaden;90+;2;1;0;0;26/03/2021
Midtjylland;90+;2;1;0;0;26/03/2021
Sjælland;90+;3;0;1;1;26/03/2021
Syddanmark;90+;1;0;0;0;26/03/2021
