"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;70;0
Hovedstaden;0-9;7417;1
Midtjylland;0-9;2660;0
Nordjylland;0-9;865;0
Sjælland;0-9;1761;0
Syddanmark;0-9;2204;0
;10-19;78;0
Hovedstaden;10-19;14784;0
Midtjylland;10-19;6235;0
Nordjylland;10-19;2247;0
Sjælland;10-19;4945;0
Syddanmark;10-19;5073;0
;20-29;487;0
Hovedstaden;20-29;21045;0
Midtjylland;20-29;7598;0
Nordjylland;20-29;2746;0
Sjælland;20-29;3901;0
Syddanmark;20-29;5035;0
;30-39;526;0
Hovedstaden;30-39;15300;4
Midtjylland;30-39;4844;0
Nordjylland;30-39;1788;0
Sjælland;30-39;3702;2
Syddanmark;30-39;3750;0
;40-49;465;0
Hovedstaden;40-49;14752;3
Midtjylland;40-49;5349;1
Nordjylland;40-49;1960;0
Sjælland;40-49;4948;1
Syddanmark;40-49;4410;1
;50-59;307;1
Hovedstaden;50-59;13743;28
Midtjylland;50-59;5470;9
Nordjylland;50-59;2250;3
Sjælland;50-59;5095;8
Syddanmark;50-59;4458;4
;60-69;113;0
Hovedstaden;60-69;7255;107
Midtjylland;60-69;3072;28
Nordjylland;60-69;1461;10
Sjælland;60-69;2840;34
Syddanmark;60-69;2534;16
;70-79;28;0
Hovedstaden;70-79;4588;318
Midtjylland;70-79;1792;85
Nordjylland;70-79;925;60
Sjælland;70-79;1849;103
Syddanmark;70-79;1560;53
;80-89;10;1
Hovedstaden;80-89;2741;512
Midtjylland;80-89;878;149
Nordjylland;80-89;435;61
Sjælland;80-89;944;148
Syddanmark;80-89;699;88
;90+;5;0
Hovedstaden;90+;984;301
Midtjylland;90+;258;68
Nordjylland;90+;125;43
Sjælland;90+;270;87
Syddanmark;90+;164;44
