"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;70;0;0;2;10/03/2021
Hovedstaden;0-9;7417;1;1;102;10/03/2021
Midtjylland;0-9;2660;0;0;20;10/03/2021
Nordjylland;0-9;865;0;0;6;10/03/2021
Sjælland;0-9;1761;0;0;17;10/03/2021
Syddanmark;0-9;2204;0;1;20;10/03/2021
;10-19;78;0;0;0;10/03/2021
Hovedstaden;10-19;14784;0;1;84;10/03/2021
Midtjylland;10-19;6235;0;0;24;10/03/2021
Nordjylland;10-19;2247;0;0;8;10/03/2021
Sjælland;10-19;4945;0;2;35;10/03/2021
Syddanmark;10-19;5073;0;0;16;10/03/2021
;20-29;487;0;0;10;10/03/2021
Hovedstaden;20-29;21045;0;6;265;10/03/2021
Midtjylland;20-29;7598;0;0;72;10/03/2021
Nordjylland;20-29;2746;0;0;34;10/03/2021
Sjælland;20-29;3901;0;0;72;10/03/2021
Syddanmark;20-29;5035;0;3;65;10/03/2021
;30-39;526;0;1;20;10/03/2021
Hovedstaden;30-39;15300;4;7;438;10/03/2021
Midtjylland;30-39;4844;0;0;106;10/03/2021
Nordjylland;30-39;1788;0;1;37;10/03/2021
Sjælland;30-39;3702;2;2;105;10/03/2021
Syddanmark;30-39;3750;0;1;85;10/03/2021
;40-49;465;0;1;26;10/03/2021
Hovedstaden;40-49;14752;3;19;568;10/03/2021
Midtjylland;40-49;5349;1;2;172;10/03/2021
Nordjylland;40-49;1960;0;1;62;10/03/2021
Sjælland;40-49;4948;1;5;207;10/03/2021
Syddanmark;40-49;4410;1;6;136;10/03/2021
;50-59;307;1;0;36;10/03/2021
Hovedstaden;50-59;13743;28;13;875;10/03/2021
Midtjylland;50-59;5470;9;3;326;10/03/2021
Nordjylland;50-59;2250;3;3;101;10/03/2021
Sjælland;50-59;5095;8;6;311;10/03/2021
Syddanmark;50-59;4458;4;9;221;10/03/2021
;60-69;113;0;1;22;10/03/2021
Hovedstaden;60-69;7255;107;12;930;10/03/2021
Midtjylland;60-69;3072;28;2;310;10/03/2021
Nordjylland;60-69;1461;10;5;133;10/03/2021
Sjælland;60-69;2840;34;14;367;10/03/2021
Syddanmark;60-69;2534;16;8;259;10/03/2021
;70-79;28;0;0;10;10/03/2021
Hovedstaden;70-79;4588;318;25;1401;10/03/2021
Midtjylland;70-79;1792;85;4;430;10/03/2021
Nordjylland;70-79;925;60;4;215;10/03/2021
Sjælland;70-79;1849;103;14;525;10/03/2021
Syddanmark;70-79;1560;53;16;330;10/03/2021
;80-89;10;1;0;5;10/03/2021
Hovedstaden;80-89;2741;512;7;1249;10/03/2021
Midtjylland;80-89;878;149;1;305;10/03/2021
Nordjylland;80-89;435;61;2;173;10/03/2021
Sjælland;80-89;944;148;10;444;10/03/2021
Syddanmark;80-89;699;88;7;261;10/03/2021
;90+;5;0;0;0;10/03/2021
Hovedstaden;90+;984;301;1;382;10/03/2021
Midtjylland;90+;258;68;0;77;10/03/2021
Nordjylland;90+;125;43;0;38;10/03/2021
Sjælland;90+;270;87;3;131;10/03/2021
Syddanmark;90+;164;44;0;59;10/03/2021
