"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;3;0;0;0;10/03/2021
Hovedstaden;0-9;237;0;1;1;10/03/2021
Midtjylland;0-9;73;0;0;0;10/03/2021
Nordjylland;0-9;4;0;0;0;10/03/2021
Sjælland;0-9;61;0;0;0;10/03/2021
Syddanmark;0-9;133;0;0;0;10/03/2021
;10-19;1;0;0;0;10/03/2021
Hovedstaden;10-19;234;0;1;1;10/03/2021
Midtjylland;10-19;119;0;0;1;10/03/2021
Nordjylland;10-19;44;0;0;0;10/03/2021
Sjælland;10-19;97;0;0;0;10/03/2021
Syddanmark;10-19;187;0;0;2;10/03/2021
;20-29;17;0;0;1;10/03/2021
Hovedstaden;20-29;261;0;2;6;10/03/2021
Midtjylland;20-29;185;0;0;0;10/03/2021
Nordjylland;20-29;57;0;0;0;10/03/2021
Sjælland;20-29;70;0;0;0;10/03/2021
Syddanmark;20-29;190;0;1;1;10/03/2021
;30-39;23;0;1;2;10/03/2021
Hovedstaden;30-39;276;0;4;4;10/03/2021
Midtjylland;30-39;110;0;0;2;10/03/2021
Nordjylland;30-39;44;0;0;0;10/03/2021
Sjælland;30-39;84;0;1;1;10/03/2021
Syddanmark;30-39;128;0;0;1;10/03/2021
;40-49;25;0;1;1;10/03/2021
Hovedstaden;40-49;249;0;4;8;10/03/2021
Midtjylland;40-49;105;0;1;1;10/03/2021
Nordjylland;40-49;36;0;0;0;10/03/2021
Sjælland;40-49;119;0;0;0;10/03/2021
Syddanmark;40-49;132;0;2;2;10/03/2021
;50-59;11;0;0;1;10/03/2021
Hovedstaden;50-59;232;0;1;4;10/03/2021
Midtjylland;50-59;108;0;1;4;10/03/2021
Nordjylland;50-59;35;0;1;1;10/03/2021
Sjælland;50-59;88;0;1;3;10/03/2021
Syddanmark;50-59;127;0;4;4;10/03/2021
;60-69;3;0;0;0;10/03/2021
Hovedstaden;60-69;104;0;4;9;10/03/2021
Midtjylland;60-69;84;0;0;0;10/03/2021
Nordjylland;60-69;30;0;0;0;10/03/2021
Sjælland;60-69;62;0;3;5;10/03/2021
Syddanmark;60-69;78;0;1;1;10/03/2021
;70-79;2;0;0;0;10/03/2021
Hovedstaden;70-79;54;0;4;11;10/03/2021
Midtjylland;70-79;38;0;1;1;10/03/2021
Nordjylland;70-79;10;0;0;0;10/03/2021
Sjælland;70-79;41;0;5;6;10/03/2021
Syddanmark;70-79;26;0;5;6;10/03/2021
Hovedstaden;80-89;30;1;3;8;10/03/2021
Midtjylland;80-89;10;0;0;0;10/03/2021
Nordjylland;80-89;5;0;0;1;10/03/2021
Sjælland;80-89;17;1;2;4;10/03/2021
Syddanmark;80-89;7;1;2;4;10/03/2021
;90+;1;0;0;0;10/03/2021
Hovedstaden;90+;4;0;0;1;10/03/2021
Sjælland;90+;5;0;2;2;10/03/2021
Syddanmark;90+;2;0;0;0;10/03/2021
