"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;102609;5581;1681;91,4;1501445;81669;264682;14397;0,64
Midtjylland;38156;2883;832;62,9;989780;74797;186377;14084;0,45
Nordjylland;14802;2513;265;45,0;478161;81186;94367;16022;0,28
Sjælland;30255;3622;644;77,1;611001;73152;115854;13871;0,56
Syddanmark;29887;2448;1010;82,7;903040;73968;194982;15971;0,52
