"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;73;0
Hovedstaden;0-9;7807;1
Midtjylland;0-9;2804;0
Nordjylland;0-9;899;0
Sjælland;0-9;1858;0
Syddanmark;0-9;2463;0
;10-19;86;0
Hovedstaden;10-19;15324;0
Midtjylland;10-19;6468;0
Nordjylland;10-19;2337;0
Sjælland;10-19;5136;0
Syddanmark;10-19;5489;0
;20-29;519;0
Hovedstaden;20-29;21708;0
Midtjylland;20-29;7845;0
Nordjylland;20-29;2849;0
Sjælland;20-29;4039;0
Syddanmark;20-29;5394;0
;30-39;570;0
Hovedstaden;30-39;15826;4
Midtjylland;30-39;5039;0
Nordjylland;30-39;1843;0
Sjælland;30-39;3834;2
Syddanmark;30-39;4058;0
;40-49;510;0
Hovedstaden;40-49;15266;4
Midtjylland;40-49;5508;1
Nordjylland;40-49;2026;0
Sjælland;40-49;5118;1
Syddanmark;40-49;4704;1
;50-59;329;1
Hovedstaden;50-59;14185;28
Midtjylland;50-59;5633;9
Nordjylland;50-59;2320;3
Sjælland;50-59;5247;8
Syddanmark;50-59;4683;4
;60-69;115;0
Hovedstaden;60-69;7481;109
Midtjylland;60-69;3159;28
Nordjylland;60-69;1513;10
Sjælland;60-69;2928;34
Syddanmark;60-69;2633;16
;70-79;28;0
Hovedstaden;70-79;4714;321
Midtjylland;70-79;1827;86
Nordjylland;70-79;959;61
Sjælland;70-79;1904;104
Syddanmark;70-79;1610;55
;80-89;10;1
Hovedstaden;80-89;2784;512
Midtjylland;80-89;887;149
Nordjylland;80-89;440;62
Sjælland;80-89;961;152
Syddanmark;80-89;717;89
;90+;5;0
Hovedstaden;90+;987;303
Midtjylland;90+;258;68
Nordjylland;90+;125;43
Sjælland;90+;271;88
Syddanmark;90+;164;44
