"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;106082;5770;2253;122,5;1524139;82904;279745;15216;0,81
Midtjylland;39428;2980;817;61,7;1010221;76342;213285;16118;0,38
Nordjylland;15311;2600;340;57,7;484054;82186;101572;17246;0,33
Sjælland;31296;3747;631;75,5;623348;74630;133159;15942;0,47
Syddanmark;31915;2614;1291;105,7;923913;75678;221810;18168;0,58
