"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;3;0;0;0;22/03/2021
Hovedstaden;0-9;247;0;0;0;22/03/2021
Midtjylland;0-9;105;0;0;1;22/03/2021
Nordjylland;0-9;19;0;0;0;22/03/2021
Sjælland;0-9;61;0;0;0;22/03/2021
Syddanmark;0-9;174;0;0;0;22/03/2021
;10-19;3;0;0;0;22/03/2021
Hovedstaden;10-19;342;0;0;1;22/03/2021
Midtjylland;10-19;161;0;0;0;22/03/2021
Nordjylland;10-19;66;0;0;0;22/03/2021
Sjælland;10-19;123;0;0;0;22/03/2021
Syddanmark;10-19;284;0;0;0;22/03/2021
;20-29;22;0;0;0;22/03/2021
Hovedstaden;20-29;449;0;1;2;22/03/2021
Midtjylland;20-29;165;0;0;1;22/03/2021
Nordjylland;20-29;61;0;0;0;22/03/2021
Sjælland;20-29;89;0;1;1;22/03/2021
Syddanmark;20-29;209;0;1;1;22/03/2021
;30-39;31;0;0;0;22/03/2021
Hovedstaden;30-39;347;0;0;3;22/03/2021
Midtjylland;30-39;126;0;0;1;22/03/2021
Nordjylland;30-39;40;0;0;0;22/03/2021
Sjælland;30-39;74;0;0;1;22/03/2021
Syddanmark;30-39;202;0;3;3;22/03/2021
;40-49;29;0;0;1;22/03/2021
Hovedstaden;40-49;334;0;1;4;22/03/2021
Midtjylland;40-49;96;0;0;0;22/03/2021
Nordjylland;40-49;48;0;0;0;22/03/2021
Sjælland;40-49;106;0;1;1;22/03/2021
Syddanmark;40-49;184;0;2;2;22/03/2021
;50-59;19;0;1;2;22/03/2021
Hovedstaden;50-59;296;0;4;9;22/03/2021
Midtjylland;50-59;98;0;1;2;22/03/2021
Nordjylland;50-59;42;0;0;0;22/03/2021
Sjælland;50-59;94;0;0;3;22/03/2021
Syddanmark;50-59;127;0;4;5;22/03/2021
;60-69;1;0;0;0;22/03/2021
Hovedstaden;60-69;143;0;3;4;22/03/2021
Midtjylland;60-69;44;0;1;1;22/03/2021
Nordjylland;60-69;36;0;1;1;22/03/2021
Sjælland;60-69;44;0;1;1;22/03/2021
Syddanmark;60-69;68;0;1;1;22/03/2021
Hovedstaden;70-79;70;1;2;3;22/03/2021
Midtjylland;70-79;21;0;1;3;22/03/2021
Nordjylland;70-79;26;0;0;0;22/03/2021
Sjælland;70-79;28;0;3;8;22/03/2021
Syddanmark;70-79;29;0;4;4;22/03/2021
Hovedstaden;80-89;22;0;2;6;22/03/2021
Midtjylland;80-89;1;0;0;0;22/03/2021
Nordjylland;80-89;2;0;1;1;22/03/2021
Sjælland;80-89;10;0;3;4;22/03/2021
Syddanmark;80-89;14;1;3;4;22/03/2021
Hovedstaden;90+;3;1;1;2;22/03/2021
Sjælland;90+;2;0;1;1;22/03/2021
