"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;60;2021-03-23
019;0-9;13;2021-03-23
101;0-9;2745;2021-03-23
147;0-9;390;2021-03-23
151;0-9;252;2021-03-23
153;0-9;271;2021-03-23
155;0-9;74;2021-03-23
157;0-9;212;2021-03-23
159;0-9;380;2021-03-23
161;0-9;111;2021-03-23
163;0-9;184;2021-03-23
165;0-9;191;2021-03-23
167;0-9;298;2021-03-23
169;0-9;367;2021-03-23
173;0-9;186;2021-03-23
175;0-9;223;2021-03-23
183;0-9;231;2021-03-23
185;0-9;243;2021-03-23
187;0-9;126;2021-03-23
190;0-9;137;2021-03-23
201;0-9;56;2021-03-23
210;0-9;146;2021-03-23
217;0-9;224;2021-03-23
219;0-9;165;2021-03-23
223;0-9;52;2021-03-23
230;0-9;139;2021-03-23
240;0-9;206;2021-03-23
250;0-9;85;2021-03-23
253;0-9;209;2021-03-23
259;0-9;187;2021-03-23
260;0-9;29;2021-03-23
265;0-9;271;2021-03-23
269;0-9;82;2021-03-23
270;0-9;92;2021-03-23
306;0-9;29;2021-03-23
316;0-9;149;2021-03-23
320;0-9;55;2021-03-23
326;0-9;75;2021-03-23
329;0-9;76;2021-03-23
330;0-9;220;2021-03-23
336;0-9;37;2021-03-23
340;0-9;47;2021-03-23
350;0-9;97;2021-03-23
360;0-9;33;2021-03-23
370;0-9;155;2021-03-23
376;0-9;89;2021-03-23
390;0-9;50;2021-03-23
400;0-9;27;2021-03-23
410;0-9;57;2021-03-23
420;0-9;36;2021-03-23
430;0-9;63;2021-03-23
440;0-9;58;2021-03-23
450;0-9;62;2021-03-23
461;0-9;581;2021-03-23
479;0-9;50;2021-03-23
480;0-9;37;2021-03-23
482;0-9;5;2021-03-23
492;0-9;3;2021-03-23
510;0-9;67;2021-03-23
530;0-9;36;2021-03-23
540;0-9;121;2021-03-23
550;0-9;37;2021-03-23
561;0-9;234;2021-03-23
563;0-9;1;2021-03-23
573;0-9;72;2021-03-23
575;0-9;66;2021-03-23
580;0-9;103;2021-03-23
607;0-9;103;2021-03-23
615;0-9;172;2021-03-23
621;0-9;374;2021-03-23
630;0-9;314;2021-03-23
657;0-9;150;2021-03-23
661;0-9;102;2021-03-23
665;0-9;23;2021-03-23
671;0-9;40;2021-03-23
706;0-9;42;2021-03-23
707;0-9;59;2021-03-23
710;0-9;88;2021-03-23
727;0-9;45;2021-03-23
730;0-9;214;2021-03-23
740;0-9;220;2021-03-23
741;0-9;2;2021-03-23
746;0-9;162;2021-03-23
751;0-9;1152;2021-03-23
756;0-9;72;2021-03-23
760;0-9;42;2021-03-23
766;0-9;63;2021-03-23
773;0-9;31;2021-03-23
779;0-9;48;2021-03-23
787;0-9;46;2021-03-23
791;0-9;120;2021-03-23
810;0-9;60;2021-03-23
813;0-9;70;2021-03-23
820;0-9;23;2021-03-23
840;0-9;54;2021-03-23
846;0-9;37;2021-03-23
849;0-9;66;2021-03-23
851;0-9;434;2021-03-23
860;0-9;80;2021-03-23
;10-19;66;2021-03-23
011;10-19;3;2021-03-23
019;10-19;17;2021-03-23
101;10-19;4700;2021-03-23
