"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;77;0
Hovedstaden;0-9;8114;1
Midtjylland;0-9;2892;0
Nordjylland;0-9;914;0
Sjælland;0-9;1897;0
Syddanmark;0-9;2583;0
;10-19;86;0
Hovedstaden;10-19;15595;0
Midtjylland;10-19;6438;0
Nordjylland;10-19;2316;0
Sjælland;10-19;5148;0
Syddanmark;10-19;5625;0
;20-29;484;0
Hovedstaden;20-29;22052;0
Midtjylland;20-29;7802;0
Nordjylland;20-29;2856;0
Sjælland;20-29;4100;0
Syddanmark;20-29;5469;0
;30-39;528;0
Hovedstaden;30-39;16098;4
Midtjylland;30-39;5029;0
Nordjylland;30-39;1829;0
Sjælland;30-39;3891;2
Syddanmark;30-39;4141;0
;40-49;472;0
Hovedstaden;40-49;15552;4
Midtjylland;40-49;5502;1
Nordjylland;40-49;2028;0
Sjælland;40-49;5126;1
Syddanmark;40-49;4807;1
;50-59;311;1
Hovedstaden;50-59;14435;28
Midtjylland;50-59;5602;9
Nordjylland;50-59;2302;3
Sjælland;50-59;5275;9
Syddanmark;50-59;4772;4
;60-69;115;0
Hovedstaden;60-69;7595;109
Midtjylland;60-69;3116;28
Nordjylland;60-69;1494;10
Sjælland;60-69;2905;35
Syddanmark;60-69;2662;16
;70-79;25;0
Hovedstaden;70-79;4742;324
Midtjylland;70-79;1810;86
Nordjylland;70-79;946;60
Sjælland;70-79;1887;106
Syddanmark;70-79;1630;56
;80-89;10;1
Hovedstaden;80-89;2797;513
Midtjylland;80-89;881;149
Nordjylland;80-89;436;62
Sjælland;80-89;954;154
Syddanmark;80-89;721;90
;90+;5;0
Hovedstaden;90+;990;304
Midtjylland;90+;260;69
Nordjylland;90+;125;43
Sjælland;90+;273;88
Syddanmark;90+;165;44
