"Region";"Prøvetagningsdato";"Køn";"Bekræftede tilfælde";"Døde";"Indlæggelser";"Kummuleret antal døde";"Kummuleret antal bekræftede tilfælde";"Kummuleret antal indlæggelser"
Sjælland;2020-02-26;M;1;0;0;0;1;0
Hovedstaden;2020-02-27;M;1;0;0;0;2;0
Midtjylland;2020-02-28;M;1;0;0;0;3;0
Hovedstaden;2020-03-01;M;1;0;1;0;4;1
Hovedstaden;2020-03-02;M;2;0;1;0;6;2
Sjælland;2020-03-02;M;1;0;0;0;7;2
Syddanmark;2020-03-02;M;1;0;0;0;8;2
Hovedstaden;2020-03-03;F;1;0;0;0;9;2
Hovedstaden;2020-03-03;M;3;0;1;0;12;3
Hovedstaden;2020-03-04;M;2;0;0;0;14;3
Sjælland;2020-03-04;M;1;0;1;0;15;4
Hovedstaden;2020-03-05;F;4;1;1;1;19;5
Hovedstaden;2020-03-05;M;6;1;2;2;25;7
Nordjylland;2020-03-06;M;1;0;0;2;26;7
Sjælland;2020-03-06;M;1;0;1;2;27;8
Hovedstaden;2020-03-07;F;5;0;1;2;32;9
Hovedstaden;2020-03-07;M;3;0;1;2;35;10
Midtjylland;2020-03-07;M;1;0;0;2;36;10
Hovedstaden;2020-03-08;F;8;0;0;2;44;10
Midtjylland;2020-03-08;F;6;0;0;2;50;10
Sjælland;2020-03-08;F;2;0;1;2;52;11
Syddanmark;2020-03-08;F;1;0;0;2;53;11
Hovedstaden;2020-03-08;M;4;0;1;2;57;12
Midtjylland;2020-03-08;M;16;0;0;2;73;12
Nordjylland;2020-03-08;M;1;0;0;2;74;12
Sjælland;2020-03-08;M;2;0;0;2;76;12
Syddanmark;2020-03-08;M;8;0;0;2;84;12
Hovedstaden;2020-03-09;F;27;0;3;2;111;15
Midtjylland;2020-03-09;F;10;0;1;2;121;16
Nordjylland;2020-03-09;F;2;0;0;2;123;16
Sjælland;2020-03-09;F;7;0;4;2;130;20
Syddanmark;2020-03-09;F;15;0;1;2;145;21
Hovedstaden;2020-03-09;M;44;0;4;2;189;25
Midtjylland;2020-03-09;M;35;0;2;2;224;27
Nordjylland;2020-03-09;M;6;0;0;2;230;27
