"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;107970;5873;2541;138,2;1538430;83681;298158;16218;0,85
Midtjylland;39332;2972;703;53,1;1020599;77126;210379;15898;0,33
Nordjylland;15246;2589;255;43,3;487001;82686;98273;16685;0,26
Sjælland;31456;3766;536;64,2;630265;75458;134287;16077;0,40
Syddanmark;32575;2668;1023;83,8;934865;76575;220704;18078;0,46
