"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;77;0;0;2;29/03/2021
Hovedstaden;0-9;8114;1;1;107;29/03/2021
Midtjylland;0-9;2892;0;0;22;29/03/2021
Nordjylland;0-9;914;0;0;6;29/03/2021
Sjælland;0-9;1897;0;0;18;29/03/2021
Syddanmark;0-9;2583;0;2;21;29/03/2021
;10-19;86;0;0;0;29/03/2021
Hovedstaden;10-19;15595;0;2;87;29/03/2021
Midtjylland;10-19;6438;0;0;26;29/03/2021
Nordjylland;10-19;2316;0;0;8;29/03/2021
Sjælland;10-19;5148;0;0;38;29/03/2021
Syddanmark;10-19;5625;0;0;17;29/03/2021
;20-29;484;0;0;10;29/03/2021
Hovedstaden;20-29;22052;0;3;283;29/03/2021
Midtjylland;20-29;7802;0;1;77;29/03/2021
Nordjylland;20-29;2856;0;1;36;29/03/2021
Sjælland;20-29;4100;0;2;76;29/03/2021
Syddanmark;20-29;5469;0;5;75;29/03/2021
;30-39;528;0;1;21;29/03/2021
Hovedstaden;30-39;16098;4;7;460;29/03/2021
Midtjylland;30-39;5029;0;0;113;29/03/2021
Nordjylland;30-39;1829;0;2;39;29/03/2021
Sjælland;30-39;3891;2;2;111;29/03/2021
Syddanmark;30-39;4141;0;4;95;29/03/2021
;40-49;472;0;0;28;29/03/2021
Hovedstaden;40-49;15552;4;12;604;29/03/2021
Midtjylland;40-49;5502;1;0;183;29/03/2021
Nordjylland;40-49;2028;0;4;65;29/03/2021
Sjælland;40-49;5126;1;3;218;29/03/2021
Syddanmark;40-49;4807;1;3;152;29/03/2021
;50-59;311;1;0;41;29/03/2021
Hovedstaden;50-59;14435;28;21;929;29/03/2021
Midtjylland;50-59;5602;9;7;344;29/03/2021
Nordjylland;50-59;2302;3;3;106;29/03/2021
Sjælland;50-59;5275;9;7;325;29/03/2021
Syddanmark;50-59;4772;4;12;258;29/03/2021
;60-69;115;0;0;22;29/03/2021
Hovedstaden;60-69;7595;109;13;972;29/03/2021
Midtjylland;60-69;3116;28;6;319;29/03/2021
Nordjylland;60-69;1494;10;6;137;29/03/2021
Sjælland;60-69;2905;35;4;379;29/03/2021
Syddanmark;60-69;2662;16;10;277;29/03/2021
;70-79;25;0;0;10;29/03/2021
Hovedstaden;70-79;4742;324;27;1440;29/03/2021
Midtjylland;70-79;1810;86;6;443;29/03/2021
Nordjylland;70-79;946;60;3;216;29/03/2021
Sjælland;70-79;1887;106;8;551;29/03/2021
Syddanmark;70-79;1630;56;9;353;29/03/2021
;80-89;10;1;0;5;29/03/2021
Hovedstaden;80-89;2797;513;7;1270;29/03/2021
Midtjylland;80-89;881;149;1;310;29/03/2021
Nordjylland;80-89;436;62;1;175;29/03/2021
Sjælland;80-89;954;154;4;455;29/03/2021
Syddanmark;80-89;721;90;5;269;29/03/2021
;90+;5;0;0;0;29/03/2021
Hovedstaden;90+;990;304;0;385;29/03/2021
Midtjylland;90+;260;69;0;78;29/03/2021
Nordjylland;90+;125;43;0;38;29/03/2021
Sjælland;90+;273;88;1;131;29/03/2021
Syddanmark;90+;165;44;0;59;29/03/2021
