"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;112700;6130;2223;120,9;1567205;85246;303920;16531;0,73
Midtjylland;40773;3081;703;53,1;1046124;79055;231874;17523;0,30
Nordjylland;15894;2699;378;64,2;494389;83941;102741;17444;0,37
Sjælland;32479;3889;505;60,5;644647;77180;138746;16611;0,36
Syddanmark;34114;2794;650;53,2;958822;78537;221282;18125;0,29
