"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;1;0;0;0;12/04/2021
Hovedstaden;0-9;192;0;0;0;12/04/2021
Midtjylland;0-9;65;0;0;0;12/04/2021
Nordjylland;0-9;14;0;0;0;12/04/2021
Sjælland;0-9;41;0;0;0;12/04/2021
Syddanmark;0-9;68;0;0;0;12/04/2021
;10-19;5;0;0;0;12/04/2021
Hovedstaden;10-19;390;0;1;1;12/04/2021
Midtjylland;10-19;169;0;1;1;12/04/2021
Nordjylland;10-19;116;0;0;1;12/04/2021
Sjælland;10-19;79;0;0;0;12/04/2021
Syddanmark;10-19;107;0;0;0;12/04/2021
;20-29;22;0;0;1;12/04/2021
Hovedstaden;20-29;490;0;1;4;12/04/2021
Midtjylland;20-29;113;0;0;0;12/04/2021
Nordjylland;20-29;83;0;1;1;12/04/2021
Sjælland;20-29;95;0;1;4;12/04/2021
Syddanmark;20-29;122;0;1;2;12/04/2021
;30-39;18;0;0;0;12/04/2021
Hovedstaden;30-39;345;0;1;4;12/04/2021
Midtjylland;30-39;85;0;0;2;12/04/2021
Nordjylland;30-39;39;0;0;0;12/04/2021
Sjælland;30-39;83;0;0;2;12/04/2021
Syddanmark;30-39;88;0;1;3;12/04/2021
;40-49;16;0;2;2;12/04/2021
Hovedstaden;40-49;327;0;3;5;12/04/2021
Midtjylland;40-49;106;0;1;1;12/04/2021
Nordjylland;40-49;41;0;0;0;12/04/2021
Sjælland;40-49;66;0;0;1;12/04/2021
Syddanmark;40-49;98;0;1;2;12/04/2021
;50-59;12;0;1;1;12/04/2021
Hovedstaden;50-59;267;0;5;8;12/04/2021
Midtjylland;50-59;95;0;1;2;12/04/2021
Nordjylland;50-59;58;0;0;1;12/04/2021
Sjælland;50-59;73;0;0;1;12/04/2021
Syddanmark;50-59;80;0;1;4;12/04/2021
;60-69;4;0;0;1;12/04/2021
Hovedstaden;60-69;116;0;2;5;12/04/2021
Midtjylland;60-69;36;0;2;2;12/04/2021
Nordjylland;60-69;11;0;0;1;12/04/2021
Sjælland;60-69;43;0;1;2;12/04/2021
Syddanmark;60-69;51;0;0;0;12/04/2021
;70-79;2;0;0;1;12/04/2021
Hovedstaden;70-79;71;0;0;5;12/04/2021
Midtjylland;70-79;25;0;1;3;12/04/2021
Nordjylland;70-79;12;0;1;1;12/04/2021
Sjælland;70-79;22;0;1;1;12/04/2021
Syddanmark;70-79;25;0;2;2;12/04/2021
Hovedstaden;80-89;22;0;5;6;12/04/2021
Midtjylland;80-89;9;0;2;2;12/04/2021
Nordjylland;80-89;3;1;0;1;12/04/2021
Sjælland;80-89;3;0;0;0;12/04/2021
Syddanmark;80-89;9;0;3;3;12/04/2021
Hovedstaden;90+;3;0;0;0;12/04/2021
Nordjylland;90+;1;0;1;1;12/04/2021
Syddanmark;90+;2;0;0;0;12/04/2021
