"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;62;2021-03-25
019;0-9;14;2021-03-25
101;0-9;2770;2021-03-25
147;0-9;395;2021-03-25
151;0-9;253;2021-03-25
153;0-9;273;2021-03-25
155;0-9;74;2021-03-25
157;0-9;212;2021-03-25
159;0-9;389;2021-03-25
161;0-9;112;2021-03-25
163;0-9;185;2021-03-25
165;0-9;192;2021-03-25
167;0-9;299;2021-03-25
169;0-9;379;2021-03-25
173;0-9;188;2021-03-25
175;0-9;223;2021-03-25
183;0-9;237;2021-03-25
185;0-9;244;2021-03-25
187;0-9;126;2021-03-25
190;0-9;146;2021-03-25
201;0-9;56;2021-03-25
210;0-9;152;2021-03-25
217;0-9;226;2021-03-25
219;0-9;167;2021-03-25
223;0-9;52;2021-03-25
230;0-9;139;2021-03-25
240;0-9;207;2021-03-25
250;0-9;85;2021-03-25
253;0-9;210;2021-03-25
259;0-9;189;2021-03-25
260;0-9;29;2021-03-25
265;0-9;271;2021-03-25
269;0-9;82;2021-03-25
270;0-9;94;2021-03-25
306;0-9;29;2021-03-25
316;0-9;153;2021-03-25
320;0-9;55;2021-03-25
326;0-9;75;2021-03-25
329;0-9;78;2021-03-25
330;0-9;221;2021-03-25
336;0-9;37;2021-03-25
340;0-9;47;2021-03-25
350;0-9;97;2021-03-25
360;0-9;33;2021-03-25
370;0-9;156;2021-03-25
376;0-9;89;2021-03-25
390;0-9;50;2021-03-25
400;0-9;27;2021-03-25
410;0-9;57;2021-03-25
420;0-9;36;2021-03-25
430;0-9;63;2021-03-25
440;0-9;59;2021-03-25
450;0-9;62;2021-03-25
461;0-9;593;2021-03-25
479;0-9;51;2021-03-25
480;0-9;37;2021-03-25
482;0-9;5;2021-03-25
492;0-9;3;2021-03-25
510;0-9;68;2021-03-25
530;0-9;38;2021-03-25
540;0-9;121;2021-03-25
550;0-9;37;2021-03-25
561;0-9;239;2021-03-25
563;0-9;1;2021-03-25
