"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;70;0;0;2;18/03/2021
Hovedstaden;0-9;7660;1;1;103;18/03/2021
Midtjylland;0-9;2771;0;0;21;18/03/2021
Nordjylland;0-9;892;0;0;6;18/03/2021
Sjælland;0-9;1820;0;0;17;18/03/2021
Syddanmark;0-9;2374;0;2;21;18/03/2021
;10-19;84;0;0;0;18/03/2021
Hovedstaden;10-19;15112;0;0;85;18/03/2021
Midtjylland;10-19;6393;0;0;24;18/03/2021
Nordjylland;10-19;2315;0;0;8;18/03/2021
Sjælland;10-19;5072;0;1;38;18/03/2021
Syddanmark;10-19;5340;0;1;16;18/03/2021
;20-29;506;0;0;10;18/03/2021
Hovedstaden;20-29;21443;0;2;271;18/03/2021
Midtjylland;20-29;7770;0;0;74;18/03/2021
Nordjylland;20-29;2825;0;0;34;18/03/2021
Sjælland;20-29;3990;0;0;72;18/03/2021
Syddanmark;20-29;5292;0;3;69;18/03/2021
;30-39;553;0;0;20;18/03/2021
Hovedstaden;30-39;15613;4;2;446;18/03/2021
Midtjylland;30-39;4981;0;1;110;18/03/2021
Nordjylland;30-39;1828;0;1;38;18/03/2021
Sjælland;30-39;3794;2;2;107;18/03/2021
Syddanmark;30-39;3972;0;4;90;18/03/2021
;40-49;495;0;0;26;18/03/2021
Hovedstaden;40-49;15076;4;9;583;18/03/2021
Midtjylland;40-49;5460;1;1;175;18/03/2021
Nordjylland;40-49;1998;0;1;62;18/03/2021
Sjælland;40-49;5056;1;5;213;18/03/2021
Syddanmark;40-49;4614;1;3;142;18/03/2021
;50-59;322;1;2;40;18/03/2021
Hovedstaden;50-59;14011;28;14;892;18/03/2021
Midtjylland;50-59;5583;9;4;333;18/03/2021
Nordjylland;50-59;2305;3;3;103;18/03/2021
Sjælland;50-59;5199;8;7;320;18/03/2021
Syddanmark;50-59;4625;4;10;234;18/03/2021
;60-69;115;0;0;22;18/03/2021
Hovedstaden;60-69;7404;109;12;943;18/03/2021
Midtjylland;60-69;3138;28;2;311;18/03/2021
Nordjylland;60-69;1496;10;2;134;18/03/2021
Sjælland;60-69;2906;34;8;373;18/03/2021
Syddanmark;60-69;2600;16;6;265;18/03/2021
;70-79;28;0;0;10;18/03/2021
Hovedstaden;70-79;4676;320;29;1416;18/03/2021
Midtjylland;70-79;1821;86;3;434;18/03/2021
Nordjylland;70-79;949;60;3;215;18/03/2021
Sjælland;70-79;1890;103;19;540;18/03/2021
Syddanmark;70-79;1594;55;11;340;18/03/2021
;80-89;10;1;0;5;18/03/2021
Hovedstaden;80-89;2778;512;6;1261;18/03/2021
Midtjylland;80-89;886;149;0;305;18/03/2021
Nordjylland;80-89;438;62;1;173;18/03/2021
Sjælland;80-89;957;152;5;449;18/03/2021
Syddanmark;80-89;708;88;6;265;18/03/2021
;90+;5;0;0;0;18/03/2021
Hovedstaden;90+;986;302;3;385;18/03/2021
Midtjylland;90+;258;68;0;77;18/03/2021
Nordjylland;90+;125;43;0;38;18/03/2021
Sjælland;90+;269;88;0;130;18/03/2021
Syddanmark;90+;164;44;0;59;18/03/2021
