"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;104759;5698;1871;101,8;1517144;82523;276401;15034;0,68
Midtjylland;39061;2952;868;65,6;1003788;75856;203740;15397;0,43
Nordjylland;15171;2576;359;61,0;482268;81883;96479;16381;0,37
Sjælland;30953;3706;642;76,9;619462;74165;123990;14845;0,52
Syddanmark;31283;2562;1266;103,7;917366;75141;210568;17248;0,60
