"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;79;0;0;2;30/03/2021
Hovedstaden;0-9;8170;1;0;107;30/03/2021
Midtjylland;0-9;2906;0;0;22;30/03/2021
Nordjylland;0-9;919;0;0;7;30/03/2021
Sjælland;0-9;1903;0;0;18;30/03/2021
Syddanmark;0-9;2607;0;1;21;30/03/2021
;10-19;88;0;0;0;30/03/2021
Hovedstaden;10-19;15649;0;1;87;30/03/2021
Midtjylland;10-19;6460;0;0;26;30/03/2021
Nordjylland;10-19;2319;0;0;8;30/03/2021
Sjælland;10-19;5156;0;1;39;30/03/2021
Syddanmark;10-19;5654;0;0;17;30/03/2021
;20-29;490;0;0;10;30/03/2021
Hovedstaden;20-29;22151;0;7;287;30/03/2021
Midtjylland;20-29;7843;0;0;77;30/03/2021
Nordjylland;20-29;2864;0;0;36;30/03/2021
Sjælland;20-29;4116;0;2;76;30/03/2021
Syddanmark;20-29;5523;0;6;76;30/03/2021
;30-39;543;0;1;21;30/03/2021
Hovedstaden;30-39;16188;4;9;464;30/03/2021
Midtjylland;30-39;5053;0;0;114;30/03/2021
Nordjylland;30-39;1835;0;1;39;30/03/2021
Sjælland;30-39;3911;2;2;113;30/03/2021
Syddanmark;30-39;4179;0;4;96;30/03/2021
;40-49;494;0;1;29;30/03/2021
Hovedstaden;40-49;15636;4;10;605;30/03/2021
Midtjylland;40-49;5532;1;1;183;30/03/2021
Nordjylland;40-49;2033;0;2;65;30/03/2021
Sjælland;40-49;5145;1;2;218;30/03/2021
Syddanmark;40-49;4857;1;5;154;30/03/2021
;50-59;323;1;0;41;30/03/2021
Hovedstaden;50-59;14525;28;20;929;30/03/2021
Midtjylland;50-59;5645;9;9;348;30/03/2021
Nordjylland;50-59;2310;3;3;107;30/03/2021
Sjælland;50-59;5300;9;7;326;30/03/2021
Syddanmark;50-59;4824;4;13;259;30/03/2021
;60-69;117;0;0;22;30/03/2021
Hovedstaden;60-69;7626;109;15;973;30/03/2021
Midtjylland;60-69;3127;28;7;321;30/03/2021
Nordjylland;60-69;1495;10;6;138;30/03/2021
Sjælland;60-69;2919;35;3;379;30/03/2021
Syddanmark;60-69;2688;16;9;278;30/03/2021
;70-79;26;0;0;10;30/03/2021
Hovedstaden;70-79;4759;325;26;1444;30/03/2021
Midtjylland;70-79;1812;86;6;445;30/03/2021
Nordjylland;70-79;949;60;7;220;30/03/2021
Sjælland;70-79;1888;106;8;552;30/03/2021
Syddanmark;70-79;1637;56;10;354;30/03/2021
;80-89;10;1;0;5;30/03/2021
Hovedstaden;80-89;2799;513;9;1274;30/03/2021
Midtjylland;80-89;881;149;1;310;30/03/2021
Nordjylland;80-89;436;62;1;175;30/03/2021
Sjælland;80-89;955;154;3;455;30/03/2021
Syddanmark;80-89;725;90;5;270;30/03/2021
;90+;9;1;0;0;30/03/2021
Hovedstaden;90+;991;304;1;386;30/03/2021
Midtjylland;90+;260;69;0;78;30/03/2021
Nordjylland;90+;125;43;0;38;30/03/2021
Sjælland;90+;273;88;1;131;30/03/2021
Syddanmark;90+;165;44;0;59;30/03/2021
