"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;108494;5901;2598;141,3;1540824;83811;289754;15761;0,90
Midtjylland;39519;2986;722;54,6;1022307;77256;202605;15311;0,36
Nordjylland;15285;2595;254;43,1;487465;82765;97171;16498;0,26
Sjælland;31566;3779;548;65,6;631103;75559;122928;14718;0,45
Syddanmark;32859;2691;1037;84,9;936755;76729;211458;17320;0,49
