"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;79;0
Hovedstaden;0-9;8170;1
Midtjylland;0-9;2906;0
Nordjylland;0-9;919;0
Sjælland;0-9;1903;0
Syddanmark;0-9;2607;0
;10-19;88;0
Hovedstaden;10-19;15649;0
Midtjylland;10-19;6460;0
Nordjylland;10-19;2319;0
Sjælland;10-19;5156;0
Syddanmark;10-19;5654;0
;20-29;490;0
Hovedstaden;20-29;22151;0
Midtjylland;20-29;7843;0
Nordjylland;20-29;2864;0
Sjælland;20-29;4116;0
Syddanmark;20-29;5523;0
;30-39;543;0
Hovedstaden;30-39;16188;4
Midtjylland;30-39;5053;0
Nordjylland;30-39;1835;0
Sjælland;30-39;3911;2
Syddanmark;30-39;4179;0
;40-49;494;0
Hovedstaden;40-49;15636;4
Midtjylland;40-49;5532;1
Nordjylland;40-49;2033;0
Sjælland;40-49;5145;1
Syddanmark;40-49;4857;1
;50-59;323;1
Hovedstaden;50-59;14525;28
Midtjylland;50-59;5645;9
Nordjylland;50-59;2310;3
Sjælland;50-59;5300;9
Syddanmark;50-59;4824;4
;60-69;117;0
Hovedstaden;60-69;7626;109
Midtjylland;60-69;3127;28
Nordjylland;60-69;1495;10
Sjælland;60-69;2919;35
Syddanmark;60-69;2688;16
;70-79;26;0
Hovedstaden;70-79;4759;325
Midtjylland;70-79;1812;86
Nordjylland;70-79;949;60
Sjælland;70-79;1888;106
Syddanmark;70-79;1637;56
;80-89;10;1
Hovedstaden;80-89;2799;513
Midtjylland;80-89;881;149
Nordjylland;80-89;436;62
Sjælland;80-89;955;154
Syddanmark;80-89;725;90
;90+;9;1
Hovedstaden;90+;991;304
Midtjylland;90+;260;69
Nordjylland;90+;125;43
Sjælland;90+;273;88
Syddanmark;90+;165;44
