"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;3;0;0;0;30/03/2021
Hovedstaden;0-9;329;0;0;3;30/03/2021
Midtjylland;0-9;90;0;0;0;30/03/2021
Nordjylland;0-9;18;0;0;1;30/03/2021
Sjælland;0-9;44;0;0;1;30/03/2021
Syddanmark;0-9;127;0;0;0;30/03/2021
;10-19;5;0;0;0;30/03/2021
Hovedstaden;10-19;368;0;0;1;30/03/2021
Midtjylland;10-19;118;0;0;0;30/03/2021
Nordjylland;10-19;41;0;0;0;30/03/2021
Sjælland;10-19;71;0;1;1;30/03/2021
Syddanmark;10-19;205;0;0;0;30/03/2021
;20-29;9;0;0;0;30/03/2021
Hovedstaden;20-29;499;0;3;6;30/03/2021
Midtjylland;20-29;122;0;0;3;30/03/2021
Nordjylland;20-29;54;0;0;1;30/03/2021
Sjælland;20-29;113;0;1;2;30/03/2021
Syddanmark;20-29;184;0;2;4;30/03/2021
;30-39;16;0;1;1;30/03/2021
Hovedstaden;30-39;390;0;5;10;30/03/2021
Midtjylland;30-39;105;0;0;1;30/03/2021
Nordjylland;30-39;29;0;0;0;30/03/2021
Sjælland;30-39;106;0;0;4;30/03/2021
Syddanmark;30-39;143;0;1;2;30/03/2021
;40-49;21;0;1;1;30/03/2021
Hovedstaden;40-49;384;0;4;8;30/03/2021
Midtjylland;40-49;102;0;1;2;30/03/2021
Nordjylland;40-49;46;0;0;1;30/03/2021
Sjælland;40-49;69;0;0;1;30/03/2021
Syddanmark;40-49;151;0;1;3;30/03/2021
;50-59;15;0;0;1;30/03/2021
Hovedstaden;50-59;341;0;6;9;30/03/2021
Midtjylland;50-59;106;0;4;7;30/03/2021
Nordjylland;50-59;35;0;1;1;30/03/2021
Sjælland;50-59;83;0;2;3;30/03/2021
Syddanmark;50-59;126;0;1;3;30/03/2021
;60-69;3;0;0;0;30/03/2021
Hovedstaden;60-69;172;0;7;12;30/03/2021
Midtjylland;60-69;48;0;2;4;30/03/2021
Nordjylland;60-69;15;0;0;0;30/03/2021
Sjælland;60-69;36;0;0;1;30/03/2021
Syddanmark;60-69;62;0;2;2;30/03/2021
Hovedstaden;70-79;81;0;5;13;30/03/2021
Midtjylland;70-79;25;0;3;6;30/03/2021
Nordjylland;70-79;15;0;3;3;30/03/2021
Sjælland;70-79;18;0;5;8;30/03/2021
Syddanmark;70-79;30;0;3;6;30/03/2021
Hovedstaden;80-89;30;0;8;9;30/03/2021
Midtjylland;80-89;4;0;1;2;30/03/2021
Nordjylland;80-89;1;0;0;0;30/03/2021
Sjælland;80-89;6;0;0;1;30/03/2021
Syddanmark;80-89;8;0;1;1;30/03/2021
;90+;1;0;0;0;30/03/2021
Hovedstaden;90+;4;0;1;1;30/03/2021
Midtjylland;90+;2;1;0;1;30/03/2021
Sjælland;90+;2;0;0;0;30/03/2021
Syddanmark;90+;1;0;0;0;30/03/2021
