"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;60;2021-03-22
019;0-9;13;2021-03-22
101;0-9;2727;2021-03-22
147;0-9;389;2021-03-22
151;0-9;251;2021-03-22
153;0-9;266;2021-03-22
155;0-9;74;2021-03-22
157;0-9;212;2021-03-22
159;0-9;379;2021-03-22
161;0-9;111;2021-03-22
163;0-9;184;2021-03-22
165;0-9;191;2021-03-22
167;0-9;298;2021-03-22
169;0-9;363;2021-03-22
173;0-9;186;2021-03-22
175;0-9;222;2021-03-22
183;0-9;231;2021-03-22
185;0-9;243;2021-03-22
187;0-9;126;2021-03-22
190;0-9;137;2021-03-22
201;0-9;56;2021-03-22
210;0-9;144;2021-03-22
217;0-9;223;2021-03-22
219;0-9;165;2021-03-22
223;0-9;52;2021-03-22
230;0-9;138;2021-03-22
240;0-9;206;2021-03-22
250;0-9;85;2021-03-22
253;0-9;209;2021-03-22
259;0-9;187;2021-03-22
260;0-9;29;2021-03-22
265;0-9;271;2021-03-22
269;0-9;82;2021-03-22
270;0-9;92;2021-03-22
306;0-9;29;2021-03-22
316;0-9;148;2021-03-22
320;0-9;54;2021-03-22
326;0-9;75;2021-03-22
329;0-9;76;2021-03-22
330;0-9;219;2021-03-22
336;0-9;37;2021-03-22
340;0-9;47;2021-03-22
350;0-9;97;2021-03-22
360;0-9;33;2021-03-22
370;0-9;155;2021-03-22
376;0-9;89;2021-03-22
390;0-9;50;2021-03-22
400;0-9;27;2021-03-22
410;0-9;57;2021-03-22
420;0-9;36;2021-03-22
430;0-9;63;2021-03-22
440;0-9;57;2021-03-22
450;0-9;61;2021-03-22
461;0-9;581;2021-03-22
479;0-9;50;2021-03-22
480;0-9;37;2021-03-22
482;0-9;5;2021-03-22
492;0-9;3;2021-03-22
510;0-9;67;2021-03-22
530;0-9;34;2021-03-22
540;0-9;121;2021-03-22
550;0-9;36;2021-03-22
561;0-9;230;2021-03-22
563;0-9;1;2021-03-22
573;0-9;72;2021-03-22
575;0-9;66;2021-03-22
580;0-9;102;2021-03-22
607;0-9;101;2021-03-22
615;0-9;171;2021-03-22
621;0-9;371;2021-03-22
630;0-9;312;2021-03-22
657;0-9;149;2021-03-22
661;0-9;102;2021-03-22
665;0-9;23;2021-03-22
671;0-9;40;2021-03-22
706;0-9;42;2021-03-22
707;0-9;59;2021-03-22
710;0-9;87;2021-03-22
727;0-9;45;2021-03-22
730;0-9;211;2021-03-22
740;0-9;220;2021-03-22
741;0-9;2;2021-03-22
