"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;84;0;0;2;09/04/2021
Hovedstaden;0-9;8445;1;1;111;09/04/2021
Midtjylland;0-9;3008;0;0;22;09/04/2021
Nordjylland;0-9;945;0;0;7;09/04/2021
Sjælland;0-9;1955;0;0;18;09/04/2021
Syddanmark;0-9;2719;0;0;22;09/04/2021
;10-19;94;0;0;0;09/04/2021
Hovedstaden;10-19;16170;0;0;89;09/04/2021
Midtjylland;10-19;6693;0;0;27;09/04/2021
Nordjylland;10-19;2441;0;1;10;09/04/2021
Sjælland;10-19;5246;0;0;40;09/04/2021
Syddanmark;10-19;5836;0;0;17;09/04/2021
;20-29;513;0;0;11;09/04/2021
Hovedstaden;20-29;22820;0;4;295;09/04/2021
Midtjylland;20-29;7983;0;0;81;09/04/2021
Nordjylland;20-29;2959;0;1;38;09/04/2021
Sjælland;20-29;4224;0;1;77;09/04/2021
Syddanmark;20-29;5686;0;3;78;09/04/2021
;30-39;580;0;0;21;09/04/2021
Hovedstaden;30-39;16716;4;8;486;09/04/2021
Midtjylland;30-39;5213;0;0;118;09/04/2021
Nordjylland;30-39;1893;0;1;39;09/04/2021
Sjælland;30-39;4007;2;1;120;09/04/2021
Syddanmark;30-39;4305;0;2;102;09/04/2021
;40-49;525;0;1;31;09/04/2021
Hovedstaden;40-49;16147;4;15;639;09/04/2021
Midtjylland;40-49;5672;1;2;191;09/04/2021
Nordjylland;40-49;2084;0;2;69;09/04/2021
Sjælland;40-49;5255;1;4;225;09/04/2021
Syddanmark;40-49;4998;1;2;165;09/04/2021
;50-59;340;1;1;42;09/04/2021
Hovedstaden;50-59;14924;28;16;973;09/04/2021
Midtjylland;50-59;5751;10;5;354;09/04/2021
Nordjylland;50-59;2377;3;2;111;09/04/2021
Sjælland;50-59;5416;10;5;337;09/04/2021
Syddanmark;50-59;4948;4;5;266;09/04/2021
;60-69;122;0;1;23;09/04/2021
Hovedstaden;60-69;7820;112;16;997;09/04/2021
Midtjylland;60-69;3185;28;9;330;09/04/2021
Nordjylland;60-69;1517;10;6;140;09/04/2021
Sjælland;60-69;2977;36;8;386;09/04/2021
Syddanmark;60-69;2764;16;8;281;09/04/2021
;70-79;28;0;0;12;09/04/2021
Hovedstaden;70-79;4863;327;33;1473;09/04/2021
Midtjylland;70-79;1841;87;5;452;09/04/2021
Nordjylland;70-79;961;60;7;223;09/04/2021
Sjælland;70-79;1917;108;10;560;09/04/2021
Syddanmark;70-79;1679;56;12;366;09/04/2021
;80-89;10;1;0;5;09/04/2021
Hovedstaden;80-89;2830;519;11;1288;09/04/2021
Midtjylland;80-89;886;149;2;312;09/04/2021
Nordjylland;80-89;437;62;0;176;09/04/2021
Sjælland;80-89;962;155;1;456;09/04/2021
Syddanmark;80-89;743;90;5;274;09/04/2021
;90+;12;1;0;0;09/04/2021
Hovedstaden;90+;994;304;2;387;09/04/2021
Midtjylland;90+;260;69;0;78;09/04/2021
Nordjylland;90+;126;43;1;39;09/04/2021
Sjælland;90+;273;88;1;131;09/04/2021
Syddanmark;90+;167;45;0;60;09/04/2021
